	D-Glucose	D-Lactose	Maltose	Sucrose	D-Fructose	L-Glutamic-acid	Salicin	LB Without Glycine	LB Without Serine	LB Without Threonine	LB	LB Plus Glycine	LB Plus Serine	LB Plus Threonine
geranyl diphosphate biosynthes... [PWY-5122] 	0.003396	0.006467	0.006468	0.006743	0.003383	0.001983	0.003164	0.001593	0.0	0.0	0.0	0.0	0.0	0.0
<i>trans [PWY-5123] 	0.003396	0.006467	0.006468	0.006743	0.003383	0.001983	0.003164	0.001593	0.0	0.0	0.0	0.0	0.0	0.0
long-chain fatty acid activati... [PWY-5143] 	0.002246	0.005221	0.005218	0.005444	0.002234	0.001266	0.002555	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pyruvate fermentation to (<i>S... [PWY-5481] 	0.046183	0.089143	0.087282	0.092948	0.046489	0.032122	0.043622	0.029965	0.0	0.0	0.0	0.0	0.0	0.0
NAD biosynthesis from 2-amino-... [PWY-5653] 	0.057761	0.108263	0.109037	0.112884	0.05752	0.035426	0.05296	0.028725	0.0	0.0	0.0	0.0	0.0	0.0
UMP biosynthesis I [PWY-5686] 	0.06531	0.125708	0.098232	0.131074	0.065046	0.037869	0.046149	0.0	0.0	0.0	0.0	0.0	0.0	0.0
inosine 5'-phosphate degradati... [PWY-5695] 	0.00545	0.010709	0.010643	0.011166	0.005429	0.003022	0.00524	0.010555	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate degradation X [PWY-5766] 	0.028984	0.052644	0.052935	0.054891	0.028873	0.010403	0.025754	0.023146	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of geranylgeranyl... [PWY-5910] 	0.016961	0.032295	0.032303	0.033674	0.016896	0.009904	0.015803	0.007955	0.0	0.0	0.0	0.0	0.0	0.0
acyl carrier protein metabolis... [PWY-6012] 	0.035382	0.069547	0.06927	0.072515	0.03524	0.019225	0.034035	0.013418	0.0	0.0	0.0	0.0	0.0	0.0
acyl carrier protein activatio... [PWY-6012-1] 	0.035309	0.069407	0.069129	0.072369	0.035167	0.019182	0.033966	0.013384	0.0	0.0	0.0	0.0	0.0	0.0
5-aminoimidazole ribonucleotid... [PWY-6121] 	0.035009	0.066896	0.066904	0.069751	0.034869	0.010638	0.032734	0.018309	0.0	0.0	0.0	0.0	0.0	0.0
chorismate biosynthesis from 3... [PWY-6163] 	0.056578	0.105143	0.106291	0.109631	0.056333	0.035488	0.051425	0.028836	0.0	0.0	0.0	0.0	0.0	0.0
3-dehydroquinate biosynthesis ... [PWY-6164] 	0.056578	0.105143	0.106291	0.109631	0.056333	0.035488	0.051425	0.028836	0.0	0.0	0.0	0.0	0.0	0.0
D-galactose degradation I (Lel... [PWY-6317] 	0.023635	0.020618	0.020534	0.021498	0.023542	0.010522	0.010089	0.014782	0.0	0.0	0.0	0.0	0.0	0.0
UDP-<i>N</i>-acetylmuramoyl-pe... [PWY-6386] 	0.002532	0.004821	0.004823	0.005027	0.002522	0.001479	0.002359	0.001188	0.0	0.0	0.0	0.0	0.0	0.0
UDP-<i>N</i>-acetylmuramoyl-pe... [PWY-6387] 	0.002954	0.005625	0.005626	0.005865	0.002943	0.001725	0.002752	0.001386	0.0	0.0	0.0	0.0	0.0	0.0
guanine and guanosine salvage ... [PWY-6599] 	0.00425	0.009383	0.009118	0.009783	0.004235	0.002227	0.004593	0.009211	0.0	0.0	0.0	0.0	0.0	0.0
guanosine nucleotides degradat... [PWY-6606] 	0.003519	0.007573	0.007396	0.007896	0.003506	0.001326	0.003707	0.01853	0.0	0.0	0.0	0.0	0.0	0.0
guanosine nucleotides degradat... [PWY-6608] 	0.001992	0.004305	0.004201	0.004489	0.001985	0.000813	0.002107	0.018639	0.0	0.0	0.0	0.0	0.0	0.0
guanine and guanosine salvage ... [PWY-6620] 	0.00196	0.004481	0.004325	0.004672	0.001954	0.001457	0.002194	0.009374	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of L-phenylalanin... [PWY-6628] 	0.044812	0.083516	0.084321	0.08708	0.04462	0.027883	0.04085	0.022628	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of L-tryptophan b... [PWY-6629] 	0.034053	0.063331	0.064	0.066034	0.033906	0.021314	0.030975	0.017313	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of L-tyrosine bio... [PWY-6630] 	0.046739	0.086984	0.09167	0.090697	0.046538	0.029199	0.042545	0.024801	0.0	0.0	0.0	0.0	0.0	0.0
<i>all-trans</i>-farnesol bios... [PWY-6859] 	0.003396	0.006467	0.006468	0.006743	0.003383	0.001983	0.003164	0.001593	0.0	0.0	0.0	0.0	0.0	0.0
3-methylbutanol biosynthesis (... [PWY-6871] 	0.033366	0.063531	0.063546	0.066242	0.033237	0.019483	0.031087	0.015648	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of glucose and xy... [PWY-6901] 	0.157542	0.307058	0.305541	0.320164	0.157047	0.075459	0.150255	0.096142	0.0	0.0	0.0	0.0	0.0	0.0
UTP and CTP <i>de novo</i> bio... [PWY-7176] 	0.104278	0.179574	0.179231	0.187239	0.103893	0.054098	0.087891	0.042223	0.0	0.0	0.0	0.0	0.0	0.0
purine deoxyribonucleosides de... [PWY-7179] 	0.001371	0.002635	0.002635	0.002748	0.001365	0.000685	0.001289	0.024816	0.0	0.0	0.0	0.0	0.0	0.0
pyrimidine nucleobases salvage... [PWY-7183] 	0.004113	0.007905	0.007905	0.008243	0.004095	0.001105	0.003868	0.000111	0.0	0.0	0.0	0.0	0.0	0.0
pyrimidine ribonucleosides sal... [PWY-7193] 	0.033828	0.066046	0.065968	0.068865	0.033692	0.02054	0.032318	0.016301	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of pyrimidine rib... [PWY-7196] 	0.050339	0.091256	0.09116	0.095151	0.050145	0.028171	0.044659	0.020698	0.0	0.0	0.0	0.0	0.0	0.0
pyrimidine deoxyribonucleotide... [PWY-7197] 	0.035349	0.070918	0.071158	0.073945	0.035188	0.022994	0.034701	0.013928	0.0	0.0	0.0	0.0	0.0	0.0
CMP phosphorylation [PWY-7205] 	0.017312	0.038268	0.038468	0.039902	0.017229	0.01426	0.018717	0.005299	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of pyrimidine nuc... [PWY-7208] 	0.079237	0.136657	0.136399	0.14249	0.078944	0.040849	0.066885	0.031695	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of pyrimidine deo... [PWY-7211] 	0.066637	0.124658	0.113944	0.129979	0.066377	0.037229	0.055094	0.017048	0.0	0.0	0.0	0.0	0.0	0.0
guanosine ribonucleotides <i>d... [PWY-7221] 	0.044861	0.086126	0.08586	0.089802	0.044688	0.025312	0.042147	0.033701	0.0	0.0	0.0	0.0	0.0	0.0
purine deoxyribonucleosides sa... [PWY-7224] 	0.05885	0.115077	0.11481	0.119988	0.05862	0.033938	0.056313	0.02467	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of guanosine nucl... [PWY-7228] 	0.046974	0.090888	0.090677	0.094767	0.046791	0.02741	0.044476	0.031226	0.0	0.0	0.0	0.0	0.0	0.0
UDP-<i>N</i>-acetylmuramoyl-pe... [PWY-7953] 	0.002954	0.005625	0.005626	0.005865	0.002943	0.001725	0.002752	0.001386	0.0	0.0	0.0	0.0	0.0	0.0
Entner-Doudoroff pathway I [PWY-8004] 	0.219629	0.417887	0.414561	0.435723	0.218775	0.10699	0.204486	0.129201	0.0	0.0	0.0	0.0	0.0	0.0
coenzyme A biosynthesis III (a... [PWY-8342] 	0.012168	0.0239	0.023807	0.02492	0.012119	0.006691	0.011696	0.004749	0.0	0.0	0.0	0.0	0.0	0.0
fructose degradation [PWY0-1314] 	0.008115	0.015597	0.00435	0.016263	0.00808	0.001334	0.007632	0.006156	0.0	0.0	0.0	0.0	0.0	0.0
sedoheptulose bisphosphate byp... [PWY0-1517] 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005953	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of pyrimidine rib... [PWY0-162] 	0.079923	0.145908	0.128607	0.152136	0.079614	0.043954	0.061802	0.015834	0.0	0.0	0.0	0.0	0.0	0.0
PRPP biosynthesis [PWY0-662] 	0.148088	0.285133	0.285318	0.297302	0.147479	0.083187	0.139529	0.057895	0.0	0.0	0.0	0.0	0.0	0.0
NAD salvage pathway IV (from n... [PWY3O-4106] 	0.057919	0.110838	0.110469	0.115568	0.057695	0.031954	0.054241	0.027634	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of L-serine and g... [SER-GLYSYN-PWY] 	0.635882	1.219809	1.219806	1.271872	0.633237	0.317149	0.596889	0.369685	0.0	0.0	0.0	0.0	0.0	0.0
L-serine biosynthesis I [SERSYN-PWY] 	0.643273	1.233883	1.233883	1.286547	0.6406	0.321465	0.603776	0.373152	0.0	0.0	0.0	0.0	0.0	0.0
