	D-Glucose	D-Lactose	Maltose	Sucrose	D-Fructose	L-Glutamic-acid	Salicin	LB Without Glycine	LB Without Serine	LB Without Threonine	LB	LB Plus Glycine	LB Plus Serine	LB Plus Threonine
UMP biosynthesis I [PWY-5686] 	0.0	0.0	-0.027369	0.0	0.0	-0.002524	-0.015383	0.0	0.0	0.0	0.0	0.0	0.0	0.0
inosine 5'-phosphate degradati... [PWY-5695] 	-0.00545	-0.010709	-0.010643	-0.011166	-0.005429	-0.003022	-0.00524	0.010555	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
L-glutamate degradation X [PWY-5766] 	0.028984	0.052644	0.052935	0.054891	0.028873	0.000124	0.025754	0.023146	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
superpathway of geranylgeranyl... [PWY-5910] 	-0.006666	-0.012693	-0.012696	-0.013235	-0.006641	-0.003892	-0.006211	-0.003126	0.0	0.0	0.0	0.0	0.0	0.0
acyl carrier protein metabolis... [PWY-6012] 	0.035382	0.069547	0.06927	0.072515	0.03524	0.019225	0.034035	0.013418	0.0	0.0	0.0	0.0	0.0	0.0
acyl carrier protein activatio... [PWY-6012-1] 	0.035309	0.069407	0.069129	0.072369	0.035167	0.019182	0.033966	0.013384	0.0	0.0	0.0	0.0	0.0	0.0
5-aminoimidazole ribonucleotid... [PWY-6121] 	0.011501	0.022136	0.022133	0.02308	0.011452	-0.003089	0.010832	0.01824	0.0	0.0	0.0	-0.0	0.0	0.0
chorismate biosynthesis from 3... [PWY-6163] 	0.033947	0.063086	0.063774	0.065778	0.0338	0.021293	0.030855	0.017302	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
3-dehydroquinate biosynthesis ... [PWY-6164] 	0.056578	0.105143	0.106291	0.109631	0.056333	0.035488	0.051425	0.028836	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
D-galactose degradation I (Lel... [PWY-6317] 	-0.023635	-0.020618	-0.020534	-0.021498	-0.023542	-0.010522	-0.010089	-0.014782	0.0	0.0	0.0	0.0	0.0	0.0
guanine and guanosine salvage ... [PWY-6599] 	0.001726	0.003532	0.003485	0.003683	0.00172	0.000213	0.001729	0.009211	0.0	0.0	0.0	0.0	0.0	0.0
guanosine nucleotides degradat... [PWY-6606] 	0.003519	0.007573	0.007396	0.007896	0.003506	0.001326	0.003707	0.01853	0.0	0.0	0.0	0.0	0.0	0.0
guanosine nucleotides degradat... [PWY-6608] 	0.001061	0.002231	0.002189	0.002326	0.001057	0.000213	0.001092	0.018639	0.0	0.0	0.0	0.0	0.0	0.0
guanine and guanosine salvage ... [PWY-6620] 	-0.00196	-0.004481	-0.004325	-0.004672	-0.001954	-0.001457	-0.002194	0.009374	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of L-phenylalanin... [PWY-6628] 	0.025828	0.047886	0.048459	0.04993	0.025715	0.016307	0.02342	0.013264	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
superpathway of L-tryptophan b... [PWY-6629] 	0.023225	0.043144	0.043622	0.044985	0.023124	0.014583	0.021102	0.011851	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
superpathway of L-tyrosine bio... [PWY-6630] 	0.028698	0.053207	0.05005	0.055478	0.028572	0.018119	0.026022	0.013648	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
<i>all-trans</i>-farnesol bios... [PWY-6859] 	-0.003396	-0.006467	-0.006468	-0.006743	-0.003383	-0.001983	-0.003164	-0.001593	0.0	0.0	0.0	0.0	0.0	0.0
3-methylbutanol biosynthesis (... [PWY-6871] 	0.006673	0.012706	0.012709	0.013248	0.006647	0.003897	0.006217	0.00313	0.0	0.0	0.0	-0.0	0.0	0.0
superpathway of glucose and xy... [PWY-6901] 	0.026337	0.05087	0.049982	0.053041	0.0263	0.009682	0.024895	0.019608	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
UTP and CTP <i>de novo</i> bio... [PWY-7176] 	0.104278	0.179574	0.179231	0.187239	0.103893	0.054098	0.087891	0.042223	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
pyrimidine nucleobases salvage... [PWY-7183] 	-0.004113	-0.007905	-0.007905	-0.008243	-0.004095	-0.001105	-0.003868	0.000111	0.0	0.0	0.0	-0.0	0.0	0.0
pyrimidine ribonucleosides sal... [PWY-7193] 	0.033828	0.066046	0.065968	0.068865	0.033692	0.02054	0.032318	0.016301	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of pyrimidine rib... [PWY-7196] 	0.049425	0.089499	0.089403	0.093319	0.049235	0.027926	0.043799	0.020698	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
pyrimidine deoxyribonucleotide... [PWY-7197] 	0.030332	0.059937	0.05945	0.062495	0.030231	0.015492	0.029331	0.013928	0.0	0.0	0.0	-0.0	0.0	0.0
CMP phosphorylation [PWY-7205] 	0.017312	0.038268	0.038468	0.039902	0.017229	0.01426	0.018717	0.005299	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of pyrimidine nuc... [PWY-7208] 	0.07718	0.132704	0.132447	0.138368	0.076896	0.040297	0.064951	0.031695	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
superpathway of pyrimidine deo... [PWY-7211] 	0.041517	0.076309	0.065635	0.079566	0.041359	0.021694	0.031429	0.017048	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
guanosine ribonucleotides <i>d... [PWY-7221] 	0.032197	0.062013	0.061741	0.06466	0.032073	0.017917	0.030348	0.033701	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
purine deoxyribonucleosides sa... [PWY-7224] 	0.05885	0.115077	0.11481	0.119988	0.05862	0.033938	0.056313	0.02458	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
superpathway of guanosine nucl... [PWY-7228] 	0.036843	0.071598	0.071382	0.074654	0.036699	0.021494	0.035037	0.031226	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
Entner-Doudoroff pathway I [PWY-8004] 	0.056211	0.104429	0.106091	0.108887	0.056036	0.026624	0.051101	0.034106	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
coenzyme A biosynthesis III (a... [PWY-8342] 	0.011971	0.023526	0.023433	0.02453	0.011923	0.006576	0.011513	0.004657	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
fructose degradation [PWY0-1314] 	0.008115	0.015597	-0.00435	0.016263	0.00808	-0.001334	0.007632	0.006156	0.0	0.0	0.0	0.0	0.0	0.0
sedoheptulose bisphosphate byp... [PWY0-1517] 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.005953	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of pyrimidine rib... [PWY0-162] 	0.039104	0.06734	0.050106	0.070215	0.03896	0.018709	0.023345	0.015834	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
PRPP biosynthesis [PWY0-662] 	0.148088	0.285133	0.285318	0.297302	0.147479	0.083187	0.139529	0.057895	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
NAD salvage pathway IV (from n... [PWY3O-4106] 	0.056577	0.108264	0.107896	0.112885	0.056359	0.030978	0.052982	0.026701	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of L-serine and g... [SER-GLYSYN-PWY] 	-0.007392	-0.014074	-0.014078	-0.014675	-0.007363	-0.004316	-0.006887	-0.003467	0.0	0.0	0.0	-0.0	0.0	0.0
L-serine biosynthesis I [SERSYN-PWY] 	-0.214424	-0.411294	-0.411294	-0.428849	-0.213533	-0.107155	-0.201259	-0.124384	0.0	0.0	0.0	0.0	0.0	0.0
