metabolite_id	metabolite_name
cpd02508_c0	5-Dehydro-4-deoxy-D-glucuronate [c0]
cpd02663_c0	2,5-Diketo-3-deoxy-D-gluconate [c0]
cpd15723_c0	Dianteisoheptadecanoylphosphatidylglycerol [c0]
cpd15795_c0	Anteisoheptadecanoylcardiolipin (B. subtilis) [c0]
cpd02862_c0	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala) [c0]
cpd02948_c0	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol [c0]
cpd03915_c0	Cob(I)yrinate diamide [c0]
cpd03916_c0	Adenosyl cobyrinate diamide [c0]
cpd15328_c0	1-octadec-11-enoyl-sn-glycerol 3-phosphate [c0]
cpd00426_c0	Homogentisate [c0]
cpd00763_c0	4-Maleylacetoacetate [c0]
cpd15687_c0	CDP-1,2-dianteisopentadecanoylglycerol [c0]
cpd15693_c0	Dianteisopentadecanoylphosphatidylserine [c0]
cpd01260_c0	Lauroyl-CoA [c0]
cpd02060_c0	(2E)-Dodecenoyl-CoA [c0]
cpd00626_c0	dTDPglucose [c0]
cpd12547_c0	L-2-Lysophosphatidylethanolamine [c0]
cpd01048_c0	Arsenate [c0]
cpd04098_c0	Arsenite [c0]
cpd03163_c0	Selenomethionine [c0]
cpd03392_c0	Se-Adenosylselenomethionine [c0]
cpd03607_c0	4-(Phosphonooxy)-threonine [c0]
cpd04539_c0	2-Amino-3-oxo-4-phosphonooxybutyrate [c0]
cpd11554_c0	8-methyl-3-oxo-nonanoyl-ACP [c0]
cpd11555_c0	8-methyl-3-hydroxy-nonanoyl-ACP [c0]
cpd15746_c0	Palmitoyllipoteichoic acid (n=24), linked, unsubstituted [c0]
cpd15764_c0	Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine [c0]
cpd00861_c0	UDP-N-acetyl-D-mannosamine [c0]
cpd00946_c0	Undecaprenyl diphospho N-acetyl-glucosamine [c0]
cpd02967_c0	N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D- glucosaminyldiphosphoundecaprenol [c0]
cpd11438_c0	fa4 [c0]
cpd11439_c0	fa4coa [c0]
cpd15339_c0	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) [c0]
cpd00214_c0	Palmitate [c0]
cpd15679_c0	1,2-diisotetradecanoyl-sn-glycerol 3-phosphate [c0]
cpd01651_c0	L-3-Cyanoalanine [c0]
cpd03407_c0	gamma-Glutamyl-beta-cyanoalanine [c0]
cpd15322_c0	1-Acyl-sn-glycero-3-phosphoglycerol hexadec-9-enoyl [c0]
cpd15398_c0	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide [c0]
cpd00122_c0	N-Acetyl-D-glucosamine [c0]
cpd15401_c0	1,6-anhydrous-N-Acetylmuramyl-tetrapeptide [c0]
cpd15343_c0	2-Acyl-sn-glycero-3-phosphoglycerol dodecanoyl [c0]
cpd00481_c0	Isobutyryl-CoA [c0]
cpd01669_c0	Estrone 3-sulfate [c0]
cpd00362_c0	Estrone [c0]
cpd03480_c0	2-Hydroxyphenylacetate [c0]
cpd15327_c0	1-hexadecanoyl-sn-glycerol 3-phosphate [c0]
cpd15704_c0	1,2-Diisopentadecanoyl-sn-glycerol [c0]
cpd15680_c0	1,2-diisopentadecanoyl-sn-glycerol 3-phosphate [c0]
cpd00507_c0	Glycerophosphocholine [c0]
cpd00098_c0	Choline [c0]
cpd15753_c0	Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted [c0]
cpd15771_c0	Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine [c0]
cpd11506_c0	8-methyl-trans-dec-2-enoyl-ACP [c0]
cpd11507_c0	8-methyl-decanoyl-ACP [c0]
cpd03118_c0	(S)-Hydroxydecanoyl-CoA [c0]
cpd03129_c0	(2E)-Decenoyl-CoA [c0]
cpd02068_c0	3-Methylglutaconyl-CoA [c0]
cpd15312_c0	1,2-Diacyl-sn-glycerol dioctadec-11-enoyl [c0]
cpd15527_c0	1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate [c0]
cpd15309_c0	1,2-Diacyl-sn-glycerol dihexadecanoyl [c0]
cpd15524_c0	1,2-dihexadecanoyl-sn-glycerol 3-phosphate [c0]
cpd03116_c0	(S)-3-Hydroxydodecanoyl-CoA [c0]
cpd11568_c0	14-methyl-trans-pentadec-2-enoyl-ACP [c0]
cpd11569_c0	14-methyl-pentadecanoyl-ACP [c0]
cpd11546_c0	4-methyl-3-oxo-pentanoyl-ACP [c0]
cpd11547_c0	4-methyl-3-hydroxy-pentanoyl-ACP [c0]
cpd11539_c0	13-methyl-trans-tetra-dec-2-enoyl-ACP [c0]
cpd11540_c0	13-methyl-tetra-decanoyl-ACP [c0]
cpd02536_c0	Muconolactone [c0]
cpd01630_c0	cis,cis-Muconate [c0]
cpd11558_c0	10-methyl-3-oxo-undecanoyl-ACP [c0]
cpd11559_c0	10-methyl-3-hydroxy-undecanoyl-ACP [c0]
cpd15342_c0	2-Acyl-sn-glycero-3-phosphoethanolamine octadec-11-enoyl [c0]
cpd11521_c0	5-methyl-3-oxo-hexanoyl-ACP [c0]
cpd14698_c0	3-Methyl-1-hydroxybutyl-TPP [c0]
cpd14699_c0	S-(3-Methylbutanoyl)-dihydrolipoamide-E [c0]
cpd00121_c0	L-Inositol [c0]
cpd00524_c0	2-Inosose [c0]
cpd03115_c0	(S)-3-Hydroxytetradecanoyl-CoA [c0]
cpd12689_c0	3-Oxotetradecanoyl-CoA [c0]
cpd11560_c0	10-methyl-trans-undec-2-enoyl-ACP [c0]
cpd11561_c0	10-methyl-undecanoyl-ACP [c0]
cpd11552_c0	6-methyl-trans-hept-2-enoyl-ACP [c0]
cpd11553_c0	6-methyl-heptanoyl-ACP [c0]
cpd15399_c0	1,6-anhydrous-N-Acetylmuramate [c0]
cpd15391_c0	MurNAc 6-phosphate [c0]
cpd15337_c0	2-Acyl-sn-glycero-3-phosphoethanolamine tetradecanoyl [c0]
cpd03847_c0	Myristic acid [c0]
cpd15536_c0	Phosphatidylglycerol ditetradecanoyl [c0]
cpd15792_c0	Myristoylcardiolipin (B. subtilis) [c0]
cpd11534_c0	11-methyl-3-hydroxy-dodecanoyl-ACP [c0]
cpd11535_c0	11-methyl-trans-dodec-2-enoyl-ACP [c0]
cpd15700_c0	Diisohexadecanoylphosphatidylethanolamine [c0]
cpd15341_c0	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) [c0]
cpd02345_c0	L-Glutamate1-semialdehyde [c0]
cpd15366_c0	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein] [c0]
cpd15569_c0	trans-3-cis-5-dodecenoyl-[acyl-carrier protein] [c0]
cpd15727_c0	Diisohexadecanoylphosphatidylglycerol [c0]
cpd15799_c0	Isohexadecanoylcardiolipin (B. subtilis) [c0]
cpd15684_c0	CDP-1,2-dianteisoheptadecanoylglycerol [c0]
cpd15690_c0	Dianteisoheptadecanoylphosphatidylserine [c0]
cpd02311_c0	4-Imidazolone-5-propanoate [c0]
cpd00344_c0	N-Formimino-L-glutamate [c0]
cpd00293_c0	N-Acetyl-D-glucosamine 6-phosphate [c0]
cpd15510_c0	two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain) [c0]
cpd03517_c0	Biotinyl-5-AMP [c0]
cpd12847_c0	Apo-[carboxylase] [c0]
cpd00387_c0	ADPglucose [c0]
cpd15302_c0	glycogen(n-1) [c0]
cpd00155_c0	Glycogen [c0]
cpd15323_c0	1-Acyl-sn-glycero-3-phosphoglycerol octadecanoyl [c0]
cpd15521_c0	1,2-didodecanoyl-sn-glycerol 3-phosphate [c0]
cpd15417_c0	CDP-1,2-didodecanoylglycerol [c0]
cpd15354_c0	2-hexadec-9-enoyl-sn-glycerol 3-phosphate [c0]
cpd00532_c0	O2- [c0]
cpd11517_c0	14-methyl-3-hydroxy-hexa-decanoyl-ACP [c0]
cpd11518_c0	14-methyl-trans-hexa-dec-2-enoyl-ACP [c0]
cpd00630_c0	3-Oxoadipate [c0]
cpd01507_c0	3-Oxoadipyl-CoA [c0]
cpd00318_c0	Tryptamine [c0]
cpd00152_c0	Agmatine [c0]
cpd03091_c0	5'-Deoxyadenosine [c0]
cpd00681_c0	Choline sulfate [c0]
cpd11525_c0	7-methyl-3-oxo-octanoyl-ACP [c0]
cpd04122_c0	Aminoacetaldehyde [c0]
cpd00939_c0	Toxopyrimidine [c0]
cpd00706_c0	Mercaptopyruvate [c0]
cpd03447_c0	2-Octaprenyl-6-methoxy-1,4-benzoquinone [c0]
cpd03448_c0	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone [c0]
cpd15579_c0	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine [c0]
cpd00653_c0	D-Galactonate [c0]
cpd00894_c0	2-Dehydro-3-deoxy-D-galactonate [c0]
cpd15552_c0	phosphatidylserine didodecanoyl [c0]
cpd15528_c0	phosphatidylethanolamine didodecanoyl [c0]
cpd11542_c0	15-methyl-3-hydroxy-hexa-decanoyl-ACP [c0]
cpd11433_c0	fa12 [c0]
cpd11434_c0	fa12coa [c0]
cpd00461_c0	Oxopent-4-enoate [c0]
cpd02731_c0	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate [c0]
cpd00320_c0	D-Aspartate [c0]
cpd00506_c0	gamma-Glutamylcysteine [c0]
cpd01293_c0	5-Oxoproline [c0]
cpd03217_c0	Lycopene [c0]
cpd03220_c0	gamma-Carotene [c0]
cpd00104_c0	BIOT [c0]
cpd15314_c0	1-Acyl-sn-glycero-3-phosphoethanolamine tetradecanoyl [c0]
cpd11566_c0	14-methyl-3-oxo-pentadecanoyl-ACP [c0]
cpd11567_c0	14-methyl-3-hydroxy-pentadecanoyl-ACP [c0]
cpd02552_c0	n-acetylglutamyl-phosphate [c0]
cpd15699_c0	Dianteisopentadecanoylphosphatidylethanolamine [c0]
cpd00945_c0	2-Dehydro-3-deoxy-D-galactonate 6-phosphate [c0]
cpd03128_c0	Decanoyl-CoA [c0]
cpd03192_c0	GDP-L-rhamnose [c0]
cpd03171_c0	GDP-4-oxo-L-rhamnose [c0]
cpd11500_c0	6-methyl-3-oxo-octanoyl-ACP [c0]
cpd11501_c0	6-methyl-3-hydroxy-octanoyl-ACP [c0]
cpd15532_c0	phosphatidylethanolamine dihexadec-9enoyl [c0]
cpd15348_c0	2-Acyl-sn-glycero-3-phosphoglycerol octadecanoyl [c0]
cpd00180_c0	Oxalate [c0]
cpd15320_c0	1-Acyl-sn-glycero-3-phosphoglycerol tetradec-7-enoyl [c0]
cpd15525_c0	1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate [c0]
cpd03052_c0	Imidazole acetaldehyde [c0]
cpd01831_c0	4-Imidazoleacetate [c0]
cpd02315_c0	6-Pyruvoyltetrahydropterin [c0]
cpd15681_c0	1,2-dianteisopentadecanoyl-sn-glycerol 3-phosphate [c0]
cpd15397_c0	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide [c0]
cpd15386_c0	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate [c0]
cpd15396_c0	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid [c0]
cpd11512_c0	12-methyl-3-oxo-tetra-decanoyl-ACP [c0]
cpd11513_c0	12-methyl-3-hydroxy-tetra-decanoyl-ACP [c0]
cpd00413_c0	Glutaryl-CoA [c0]
cpd00650_c0	Crotonyl-CoA [c0]
cpd15706_c0	1,2-Diisohexadecanoyl-sn-glycerol [c0]
cpd15345_c0	2-Acyl-sn-glycero-3-phosphoglycerol tetradec-7-enoyl [c0]
cpd00086_c0	Propionyl-CoA [c0]
cpd01844_c0	Propionyl phosphate [c0]
cpd00616_c0	Pretyrosine [c0]
cpd15311_c0	1,2-Diacyl-sn-glycerol dioctadecanoyl [c0]
cpd01981_c0	5-Methylthio-D-ribose [c0]
cpd02574_c0	methylthioribose-1-phosphate [c0]
cpd15355_c0	2-hexadecanoyl-sn-glycerol 3-phosphate [c0]
cpd11516_c0	14-methyl-3-oxo-hexa-decanoyl-ACP [c0]
cpd01914_c0	L-Methionine S-oxide [c0]
cpd01011_c0	Butanal [c0]
cpd03662_c0	n-Butanol [c0]
cpd03161_c0	Phenethylamine [c0]
cpd14703_c0	S-(2-Methylbutanoyl)-dihydrolipoamide-E [c0]
cpd00120_c0	Butyryl-CoA [c0]
cpd15238_c0	Hexadecenoyl-CoA [c0]
cpd03738_c0	1-Deoxy-D-xylulose [c0]
cpd00307_e0	Cytosine [e0]
cpd00307_c0	Cytosine [c0]
cpd09255_c0	2-Hydroxy-6-ketononatrienedioate [c0]
cpd15344_c0	2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl [c0]
cpd11533_c0	11-methyl-3-oxo-dodecanoyl-ACP [c0]
cpd15692_c0	Diisopentadecanoylphosphatidylserine [c0]
cpd15698_c0	Diisopentadecanoylphosphatidylethanolamine [c0]
cpd03119_c0	3-Oxodecanoyl-CoA [c0]
cpd00378_c0	Formamide [c0]
cpd02187_c0	Methacrylyl-CoA [c0]
cpd03572_c0	(S)-3-Hydroxyisobutyryl-CoA [c0]
cpd03593_c0	D-erythro-3-Methylmalate [c0]
cpd11541_c0	15-methyl-3-oxo-hexa-decanoyl-ACP [c0]
cpd00340_c0	2,5-Dioxopentanoate [c0]
cpd15313_c0	1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl [c0]
cpd00334_c0	L-Lactaldehyde [c0]
cpd02849_c0	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA [c0]
cpd15170_c0	7-Methyl-3-oxo-6-octenoyl-CoA [c0]
cpd00800_c0	8-Amino-7-oxononanoate [c0]
cpd00764_c0	7-8-Diaminononanoate [c0]
cpd02701_c0	S-Adenosyl-4-methylthio-2-oxobutanoate [c0]
cpd02691_c0	2-methyl-3-hydroxy-butyryl-CoA [c0]
cpd02125_c0	Tiglyl-CoA [c0]
cpd11825_c0	Octadecenoyl-ACP [c0]
cpd11536_c0	11-methyl-dodecanoyl-ACP [c0]
cpd00891_c0	L-methylmalonyl-CoA [c0]
cpd00519_c0	D-methylmalonyl-CoA [c0]
cpd15725_c0	Diisopentadecanoylphosphatidylglycerol [c0]
cpd15797_c0	Isopentadecanoylcardiolipin (B. subtilis) [c0]
cpd15701_c0	1,2-Diisoheptadecanoyl-sn-glycerol [c0]
cpd15677_c0	1,2-diisoheptadecanoyl-sn-glycerol 3-phosphate [c0]
cpd03646_c0	gamma-Glutamyl-3-aminopropiononitrile [c0]
cpd15371_c0	R-3-Hydroxyoctadecanoyl-acyl-carrierprotein- [c0]
cpd15572_c0	trans-octadec-2-enoyl-[acyl-carrier protein] [c0]
cpd00780_c0	Fumarylacetoacetate [c0]
cpd00175_c0	UDP-N-acetyl-D-galactosamine [c0]
cpd15634_c0	teichuronic acid (GlcA+GalNac, 45 repeating unit) [c0]
cpd15555_c0	phosphatidylserine dihexadecanoyl [c0]
cpd15531_c0	phosphatidylethanolamine dihexadecanoyl [c0]
cpd00272_c0	GDP-L-fucose [c0]
cpd11509_c0	10-methyl-3-hydroxy-dodecanoyl-ACP [c0]
cpd11510_c0	10-methyl-trans-dodec-2-enoyl-ACP [c0]
cpd15349_c0	2-Acyl-sn-glycero-3-phosphoglycerol octadec-11-enoyl [c0]
cpd15752_c0	Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted [c0]
cpd15770_c0	Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine [c0]
cpd03560_c0	Propionyladenylate [c0]
cpd15321_c0	1-Acyl-sn-glycero-3-phosphoglycerol hexadecanoyl [c0]
cpd00588_c0	Sorbitol [c0]
cpd03120_c0	(S)-Hydroxyoctanoyl-CoA [c0]
cpd15705_c0	1,2-Dianteisopentadecanoyl-sn-glycerol [c0]
cpd01882_c0	Isovaleryl-CoA [c0]
cpd03491_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine [c0]
cpd15400_c0	1,6-anhydrous-N-Acetylmuramyl-tripeptide [c0]
cpd00374_c0	Tyramine [c0]
cpd02740_c0	Guanosine 5'-triphosphate,3'-diphosphate [c0]
cpd00162_c0	Aminoethanol [c0]
cpd00163_c0	UDP-xylose [c0]
cpd03117_c0	3-Oxododecanoyl-CoA [c0]
cpd03608_c0	4-Hydroxy-L-threonine [c0]
cpd11529_c0	9-methyl-3-oxo-decanoyl-ACP [c0]
cpd11530_c0	9-methyl-3-hydroxy-decanoyl-ACP [c0]
cpd00830_c0	4-Hydroxy-2-oxoglutarate [c0]
cpd02524_c0	N-Pantothenoylcysteine [c0]
cpd01966_c0	Dimethylacryloyl-CoA [c0]
cpd00235_c0	D-mannose-6-phosphate [c0]
cpd15346_c0	2-Acyl-sn-glycero-3-phosphoglycerol hexadecanoyl [c0]
cpd15338_c0	2-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl [c0]
cpd00510_c0	deoxyribose-5-phosphate [c0]
cpd01242_c0	Thyminose [c0]
cpd15538_c0	Phosphatidylglycerol dihexadecanoyl [c0]
cpd15791_c0	Palmitoylcardiolipin (B. subtilis) [c0]
cpd15316_c0	1-Acyl-sn-glycero-3-phosphoethanolamine hexadecanoyl [c0]
cpd11511_c0	10-methyl-dodecanoyl-ACP [c0]
cpd11621_c0	Oxidizedferredoxin [c0]
cpd11620_c0	Reducedferredoxin [c0]
cpd15697_c0	Diisotetradecanoylphosphatidylethanolamine [c0]
cpd03127_c0	(2E)-Tetradecenoyl-CoA [c0]
cpd11430_c0	fa1 [c0]
cpd11435_c0	fa1coa [c0]
cpd00073_c0	Urea [c0]
cpd00158_c0	CELB [c0]
cpd15686_c0	CDP-1,2-diisopentadecanoylglycerol [c0]
cpd15318_c0	1-Acyl-sn-glycero-3-phosphoglycerol dodecanoyl [c0]
cpd15363_c0	2-tetradecanoyl-sn-glycerol 3-phosphate [c0]
cpd15420_c0	CDP-1,2-dioctadec-11-enoylglycerol [c0]
cpd15683_c0	CDP-1,2-diisoheptadecanoylglycerol [c0]
cpd15689_c0	Diisoheptadecanoylphosphatidylserine [c0]
cpd15584_c0	alpha-Methyl-D-glucoside [c0]
cpd15558_c0	phosphatidylserine dioctadec-11-enoyl [c0]
cpd03490_c0	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine [c0]
cpd15419_c0	CDP-1,2-dihexadecanoylglycerol [c0]
cpd03122_c0	(S)-Hydroxyhexanoyl-CoA [c0]
cpd03123_c0	3-Oxohexanoyl-CoA [c0]
cpd02124_c0	2-Methylacetoacetyl-CoA [c0]
cpd01157_c0	Chitobiose [c0]
cpd11531_c0	9-methyl-trans-dec-2-enoyl-ACP [c0]
cpd11532_c0	9-methyl-decanoyl-ACP [c0]
cpd15468_c0	Glycerophosphoserine [c0]
cpd11548_c0	4-methyl-trans-pent-2-enoyl-ACP [c0]
cpd11549_c0	4-methyl-pentanoyl-ACP [c0]
cpd02782_c0	UDP-N-acetyl-D-glucosaminouronate [c0]
cpd15387_c0	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine [c0]
cpd11564_c0	12-methyl-trans-tridec-2-enoyl-ACP [c0]
cpd11565_c0	12-methyl-tridecanoyl-ACP [c0]
cpd12237_c0	Peptide-L-methionine [c0]
cpd14507_c0	Peptide-L-methionine (R)-S-oxide [c0]
cpd00157_c0	Glycerone [c0]
cpd00434_c0	4-Aminobutanal [c0]
cpd00281_c0	GABA [c0]
cpd11431_c0	fa11 [c0]
cpd11432_c0	fa11coa [c0]
cpd15724_c0	Diisotetradecanoylphosphatidylglycerol [c0]
cpd15796_c0	Isotetradecanoylcardiolipin (B. subtilis) [c0]
cpd00291_c0	L-Dopa [c0]
cpd02357_c0	Dopamine [c0]
cpd15696_c0	Dianteisoheptadecanoylphosphatidylethanolamine [c0]
cpd11217_c0	1,4-Dihydroxy-2-naphthoyl-CoA [c0]
cpd11497_c0	4-methyl-3-hydroxy-hexanoyl-ACP [c0]
cpd11498_c0	4-methyl-trans-hex-2-enoyl-ACP [c0]
cpd00751_e0	L-Fucose [e0]
cpd00751_c0	L-Fucose [c0]
cpd15315_c0	1-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl [c0]
cpd11519_c0	14-methyl-hexa-decanoyl-ACP [c0]
cpd15748_c0	Stearoyllipoteichoic acid (n=24), linked, unsubstituted [c0]
cpd15766_c0	Stearoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine [c0]
cpd11436_c0	fa3 [c0]
cpd11437_c0	fa3coa [c0]
cpd01311_c0	Dethiobiotin [c0]
cpd00314_c0	D-Mannitol [c0]
cpd15554_c0	phosphatidylserine ditetradec-7-enoyl [c0]
cpd15530_c0	phosphatidylethanolamine ditetradec-7-enoyl [c0]
cpd02113_c0	dTDP-rhamnose [c0]
cpd15319_c0	1-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl [c0]
cpd00076_c0	Sucrose [c0]
cpd15754_c0	Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted [c0]
cpd15772_c0	Isohexadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine [c0]
cpd15362_c0	2-tetradec-7-enoyl-sn-glycerol 3-phosphate [c0]
cpd00417_c0	L-Lyxitol [c0]
cpd00224_c0	L-Arabinose [c0]
cpd15508_c0	three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain) [c0]
cpd15507_c0	three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala), one uncrosslinked tetrapaptide) (middle of chain) [c0]
cpd15585_c0	beta-Methylglucoside [c0]
cpd15514_c0	two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain) [c0]
cpd15306_c0	1,2-Diacyl-sn-glycerol didodecanoyl [c0]
cpd00393_c0	Folate [c0]
