Reaction	In-Pathway
RXN-8641	MGLDLCTANA-PWY
RXN-16840	PWY-6024
RXN-15571	4.3.1.21-RXN
RXN-22231	PWY-8287
SPHINGOMYELIN-PHOSPHODIESTERASE-D-RXN	
RXN-16281	
RXN-23566	PWY-8411
RXN-17999	PWY-7045
RXN-21867	PWY-8205 // PWY-8208
RXN-23850	
RXN66-345	RXN-14746 // PWY66-380
METHYLITACONATE-DELTA-ISOMERASE-RXN	PWY-5055
MALEATE-HYDRATASE-RXN	PWY-7469
RXN-10125	PWY-6197
RXN-20859	RXN-20911 // PWY-8081
RXN-21923	
RXN-7830	PWY-5139
RXN-21324	PWY-8133
RXN-15300	
RXN-8920	PWY-5701
RXN-19202	PWY-7949
RXN-8678	PWY-6824 // PWY-5466
RXN-22419	PWY-8272
2.3.1.43-RXN	
RXN-13106	PWY-6538
CHORPYRLY-RXN	PWY-5755 // PWY-7934 // PWY-7935 // PWY-7929 // PWY-7742 // PWY-7745 // PWY-6148 // PWY-5870
H2SOXIREDPYRO-RXN	PWY-5332
RXN-8953	PWY2B4Q-2 // PWY-8225 // PWY-5739
RXN-22073	PWY-7530
RXN-14317	PWY-7232
RXN-13541	PWY-7074
RXN-13891	PWY-7155
RXN-4883	PWY-2981
RXN-21471	PWY-8151
RXN-3482	PWY-2242
RXN66-168	PWY66-221
RXN-13448	PWY-7055
RXN-20176	
RXN-18690	PWY-7887 // RXN-18794
RXN-16409	PWY-7636
RXN-12720	PWY-6932
RXN-20796	PWY-8075
DARABKIN-RXN	DARABCATK12-PWY
RXN-20702	PWY-8062
RXN-17695	PWY-5770
RXN-24136	PWY-8468
RXN-23532	PWY-8408 // PWY-8409
RXN-13430	
3.2.1.91-RXN	PWY-6788
RXN-19051	PWY-7928
RXN1G-27	PWYG-321
5.5.1.2-RXN	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
RXN-17537	
RXN-22252	PWY-8247
RXN-18154	
3.1.3.40-RXN	PWY-5940
RXN-23422	PWY-8397
CYCPHOSDIESTER-RXN	
RXN-2501	FLUORENE-DEG-9-ONE-PWY
RXN-17998	PWY-7352 // PWY-7354
RXN-16440	PWY-7637 // RXN-16441
RXN-12087	
RXN-8	PWY-3
RXN-20107	RXN-20105
SYM-NORSPERMIDINE-SYNTHASE-RXN	PWY-8115
RXN-17073	PWY-7718
RXN-14318	PWY-7232
RXN-8378	PWY-6927
RXN-17356	PWY-7407 // RXN-17335
1.3.7.3-RXN	PWY-5915 // PWY-7579
RXN1G-138	PWYG-321
RXN-12820	
RXN-15293	RXN-15294
RXN-5402	PWY-3162
RXN-13725	
RXN-9673	PWY-6000
RXN-18325	
RXN-13359	PWY-7043
RXN-22506	PWY-8490
RXN-14771	PWY-7337
RXN-23038	PWY-8358
RXN-8621	PWY-6836 // PWY-6243
RXN-19632	
RXN-22356	PWY-8262
RXN-16803	
RXN-19397	PWY-7979
RXN-18572	
RXN-21067	
RXN-17664	
RXN-16317	
RXN-12068	PWY-2821 // PWY-7824 // RXN-4602
2.1.1.19-RXN	
RXN-22119	PWY-8217 // PWY-8222
RXN-17251	RXN-18533 // PWY-7743 // PWY-7744 // RXN-18531
RXN-9304	RXN-15614 // RXN-12224 // PWY-6767 // PWY-5875
RXN-21399	
RXN-16799	
RXN-20171	PWY-7230
RXN-16650	PEPTIDOGLYCANSYN-PWY // PWY0-1586
RXN-21209	PWY-6955
ADENOSINE-NUCLEOSIDASE-RXN	PWY-6605
RXN-12602	PWY-6887
RXN-16365	PWY-7631
RXN1F-66	PWY-5068 // PWY-5086 // PWY-7764
3.2.1.80-RXN	
RXN-15821	PWY-7557
1.14.11.3-RXN	
RXN1F-101	PWY-5035
RXN-14553	RXN-15287
ESTRONE-SULFOTRANSFERASE-RXN	
RXN-24470	
R145-RXN	PWY-4361
RXN-14173	
RXN-17959	PWY-7807
RXN-14907	PWY-7387
RXN-20872	PWY-8083
RXN-19111	PWY-7935
1.97.1.11-RXN	PWY-6260
RXN-13588	
RXN66-578	
RXN-18999	
PRTRANS-RXN	TRPSYN-PWY
RXN-9899	
RXN-17026	PWY-7710
GLUTAMATESYN-RXN	GLUTAMINEFUM-PWY
RXN-20336	PWY-8041
RXN-21418	
RXN-14273	PWY-7654
RXN-16017	PWY-7585
RXN-18127	PWY-7826
RXN-11880	PWY-6664
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	PWY-5532 // CALVIN-PWY // PWY-5723
RXN-8306	PWY-782
RXN-13232	PWY-7025
RXN-20905	
RXN-16295	
RXN-24164	
2.4.1.212-RXN	
RXN-14610	RXN-14601
2.8.2.31-RXN	
CYCLAMATE-SULFOHYDROLASE-RXN	
PROCOLLAGEN-GLUCOSYLTRANSFERASE-RXN	PWY-7894
4-NITROPHENOL-2-MONOOXYGENASE-RXN	PWY-5488
RXN-18830	PWY-7911
5.4.99.14-RXN	PWY-6185
ALCOHOL-SULFOTRANSFERASE-RXN	
RXN-18319	
RXN-18280	PWY-7836
RXN-17539	PWY-7771
DLACTDEHYDROGNAD-RXN	FERMENTATION-PWY // PWY-8188 // PWY-8274 // P122-PWY // ALACAT2-PWY // PWY-6901 // PWY4LZ-257 // PWY-6454
RXN-19703	
RXN-8020	PWY-5171
RXN-18313	PWY-7841
L-AMINO-ACID-DEHYDROGENASE-RXN	
RXN-18752	
RXN-14505	
RXN-20056	PWY0-1599 // RXN-19950 // RXN-20159
RXN2PN3-45	GLYOXI-RXN
TOCOPHEROL-O-METHYLTRANSFERASE-RXN	PWY-1422
RXN-18281	PWY-7836
RXN-10138	PWY-6199
PHOSPHOGLYCERATE-KINASE-GTP-RXN	
RXN-15027	PWY-7407
RXN0-6511	
RXN0-1441	
RXN-11897	PWY-6666
RXN-14381	PWY-7250
RXN-9603	PWY-5983
4.99.1.5-RXN	
1.97.1.8-RXN	PCEDEG-PWY
XMPXAN-RXN	PWY-5695 // PWY-6596
RXN-24451	PWY-8506
PYRIDOXINE-5-DEHYDROGENASE-RXN	PWY-8384
CARNOSINE-N-METHYLTRANSFERASE-RXN	
RXN-8784	PWY3DJ-35471 // RXN-13689
PEPTIDE-TRYPTOPHAN-23-DIOXYGENASE-RXN	
RXN-16167	
RXN-20422	PWY-8044
RXN-11574	
RXN-17193	PWY-6322
RXN-9898	
RXN0-5294	
RXN-16857	PWY-7689
RXN-9429	PWY-5927
2.4.1.41-RXN	PWY-7435 // PWY-7433
RXN-10778	PWY-6313
PROSTAGLANDIN-A1-DELTA-ISOMERASE-RXN	
RXN-7590	PWY-5036
RXN-13746	PWY-7127
RXN-10890	PWY-6339
2.7.8.23-RXN	
FUMARATE-REDUCTASE-NADH-RXN	
RXN-10978	
RXN-15374	PWY-7464
RXN-8380	PWY-5364
RXN2B4Q-61	PWY2B4Q-8
RXN-13413	
RXN-10964	
RXN-18544	PWY-7741 // RXN-18545
RXN-11110	
RXN-18095	PWY-7824
RXN-23832	PWY-6312
RXN-22538	PWY-8298
2.3.1.161-RXN	PWY-7535
RXNQT-4360	PWYQT-4477
3.5.2.14-RXN	PWY-4722
ENTF-RXN	PWY-8484 // RXN-24267 // RXN-24264 // RXN-23960 // RXN-23947 // SERINE--TRNA-LIGASE-RXN // RXN0-2161 // PWY-8117 // RXN-23365 // ENTBACSYN-PWY // PWY-7987 // RXN-19474 // ENTMULTI-RXN // PWY-7751 // RXN-17371 // RXN-16906
RXN-7253	PWY-4702
RXN-13166	PWY-7000
PYRUVATE-DEHYDROGENASE-NADP+-RXN	PWY-6970
RXN66-514	PWY-8400 // PWY-8355 // PWY66-397
RXN-23688	PWY-8434
RXN-14668	PWY-7301
RXN-11745	PWY-6644
METHIONINE-GAMMA-LYASE-RXN	PWY-7793
RXN-18020	PWY-7816
NUCLEOSIDE-PHOSPHOTRANSFERASE-RXN	
RXN-18792	
RXN-21155	PWY-6432 // RXN-11226
METHYLACYLYLCOA-HYDROXY-RXN	VALDEG-PWY
ACETATEKIN-RXN	PWY-8480 // P124-PWY // METH-ACETATE-PWY // FERMENTATION-PWY // PWY-5482 // PWY-5497 // PWY-8086 // PWY-8377 // PWY-8303 // P3-PWY // P163-PWY // P164-PWY // PWY0-1312 // PWY-8015 // PWY0-1477 // PWY4LZ-257 // PWY-5485 // P161-PWY
RXN-11819	
ISOCIT-CLEAV-RXN	GLYOXYLATE-BYPASS
RXN185E-14	PWY185E-1
RXN-20346	PWY-8041
4.2.2.3-RXN	PWY-6986
RXN-22153	PWY-8228
R422-RXN	P481-PWY
RXN-15430	PWY-7482
RXN-21469	PWY-8151
RXN-13380	PWY-7045
ACETYLPUTRESCINE-DEACETYLASE-RXN	
RXN-16264	PWY-7626
RXN-16634	
RXN-13116	PWY-8367 // PWY-7000 // PWY-7022 // PWY-7014
RXN-23815	
RXN-21316	PWY-8131 // PWY-8130
D-ALANINE-HYDROXYMETHYLTRANSFERASE-RXN	
RXN-4843	PWY-2961
RXN-16553	PWY-7656
RXN3O-1070	
H2NTPEPIM-RXN	PWY0-1433
RXN-12067	PWY-2821 // PWY-7824 // RXN-4602
1.14.13.58-RXN	P281-PWY
RXN-15690	PWY-7535
RXN-13402	
RXN-13895	PWY-7155
RXN-13669	
RXN-18191	PWYQT-4450 // RXNQT-4173
RXN-12986	
RXN-21461	
1.13.11.10-RXN	PWY-6309
NUCLEOSIDE-DIPHOSPHATASE-RXN	RXN-14024
RXN-11180	PWY-6420
RXN-22180	PWY-8234
RXN-19415	PWY-7982
RXN-15091	PWY-7420
FUMARYLACETOACETASE-RXN	TYRFUMCAT-PWY
RXN-9194	PWY-5835
RXN-16846	PWY-6024
RXN-21766	PWY-8182
RXN-13595	
RXN-9085	PWY-5793
RXN-24128	
RXN-8185	PWY-5288
R217-RXN	RXN-22593 // P241-PWY
RXN-16342	PWY-7629
RXN-20715	
ASPARAGUSATE-REDUCTASE-NADH-RXN	
RXN-12361	PWY-6799
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	PWY0-1391 // PWY-6754
RXN-14850	
RXN-13370	
RXN-18037	PWY-7817
RXN-22722	
RXN8J2-171	PWY-8489
RXN-14683	PWY-7300
RXN-15534	PWY-7498
RXN66-622	PWY-5994
RXN8J2-139	
RXN4FS-13	PWY4FS-13
ACETYLGLUTKIN-RXN	ARGSYNBSUB-PWY // PWY-5154 // GLUTORN-PWY
RXN-15755	
RXN-11407	PWY-8390 // PWY-6501
RXN-22477	
RXN-14926	
RXN-7667	PWY-5067
RXN-8177	PWY-5286 // PWY-5312
RXN-23546	PWY-8407
RXN-17212	PWY-7742
16-HYDROXYSTEROID-EPIMERASE-RXN	
RXN-21525	PWY-8159 // OHMETHYLBILANESYN-RXN
5.4.99.16-RXN	PWY-7900 // PWY-2622
RXN-18023	
RXN-7828	PWY-5268 // PWY-5139
2.7.11.27-RXN	
R128-RXN	PWY-5497 // P164-PWY
RXN-13848	PWY-7151
RXN-17361	
RXN0-884	PWY-7560
RXN-21704	PWY-8175
RXN-11543	PWY-6550
RXN-7978	PWY-5945 // RXN-13193
RXN-8032	PWY-8485 // PWY-301 // PWY-7401 // CENTBENZCOA-PWY // P321-PWY
RXN-24450	PWY-8506
RXN3O-1120	
RXN-24517	PWY-8517
LTAA-RXN	
NUCLEOSIDE-TRIPHOSPHATASE-RXN	RXN-14024
2.8.2.30-RXN	PWY-6558
RXN3O-58	PWY3O-19
RXN-22796	RXN-22786
RXN-21655	PWY-8174
DIGUANIDINOBUTANASE-RXN	
RXN-15014	
RXN-12117	
RXN0-4141	P283-PWY
RXN-7578	PWY-84
1.2.3.3-RXN	
RXN-11977	PWY-6679
RXN-20883	
RXN-17429	PWY-7760 // PWY-7758 // PWY-7759
QUESTIN-MONOOXYGENASE-RXN	PWY-7079
LEVANSUCRASE-RXN	
RXN-18576	
RXN-15540	RXN-14337
OXALATE-DECARBOXYLASE-RXN	PWY-6698
RXN1A0-6310	PWY1A0-6325
RXN-12902	PWY-6965
RXN-10928	PWY-6345
R461-RXN	PWY-5727
RXN-11322	PWY-6466
NADH-PEROXIDASE-RXN	
RXN-14090	
RXN-8693	PWY-5468
RXN-4705	PWY-2861
RXN-19163	PWY-7943
RXN-13332	
RXN-11563	PWY-6558
RXN-16915	PWY-8426 // PWY-7694
RXN-14105	
RXN-11009	RXN-24286 // PWY-6378
RXN-9652	PWY66-430
RXN-22697	RXN-22698
RXN-12699	PWY-6930
RXN-10825	PWY-6320
RXN-7224	PWY-4681
RXN-9614	
RXN-21520	PWY-8158
RXN0-5146	GLYCOCAT-PWY
RXN-11328	PWY-7675
RXN-23259	
RXN-19909	
6.2.1.28-RXN	PWY-6061
RXN-17857	PWY-7800
RXN-19635	PWY-7994
UDPREDUCT-RXN	PWY-7184 // PWY-6545 // PWY0-166
RXN-1823	
RXN-19521	PWY-7990
RXN2DNV-8	PWY2DNV-3
NICOTINAMID-RXN	PWY-8511 // PWY-5381 // PYRIDNUCSAL-PWY // PWY3O-4107 // P345-PWY
ARACHIDONATE-12-LIPOXYGENASE-RXN	PWY-8411 // PWY-8410 // PWY-8397
RXN-8727	PWY-5477
PYRIDOXINE-4-DEHYDROGENASE-RXN	PWY-7282 // PLPSAL-PWY // PWY-7204
RXN-11396	PWY-6502
RXN-7744	PWY-5101
RXN-8093	
RXN-8632	PWY-7466 // PWY-5453
RXN1G-1081	PWYG-321
ORNITHINE-CYCLODEAMINASE-RXN	ORN-AMINOPENTANOATE-CAT-PWY // PWY-4981 // ARG-GLU-PWY
RXN-9533	PWY66-430 // PWY-8279 // PWY1A0-6120 // PWY-7664 // PWY-5971
RXN-9663	PWYG-321 // PWY-5971
PERILLYL-ALCOHOL-DEHYDROGENASE-RXN	PWY-8029
RXN-7703	PWY-5083
RXN-6522	PWY-5036
RXN-19326	PWY-7970
RXN-23120	PWY-8365
ENOYL-COA-DELTA-ISOM-RXN	FAO-PWY // PWY-5137
RXN-22191	PWY-8236
RXN-18494	
RXN-3590	PWY-2345
RXN-17778	PWY0-1337
RXN-19069	PWY-7931
RXN-10601	PWY-6258
RXN-11520	PWY-6632
RXN-11731	
RXN-9141	PWY-5818
RXN-8831	PWY-5644
RXN-9000	PWY-5756
3.2.1.109-RXN	
RXN-21177	PWY-6682
RXN-6541	PWY-5070
RXN-15342	PWYG-321
RXN-7819	
RXN-19882	PWY-8014
O-CRESOL-METHYLCATECHOL-RXN	TOLUENE-DEG-2-OH-PWY
RXN-9410	PWY-5923
RXN-11684	PWY-7897 // PWY-6602
RXN-12811	PWY-7688 // PWY-6953
AMYLOSUCRASE-RXN	
RXN-23818	
RXN1G-2527	PWYG-321
RXN-8718	PWY-5475
RXN-17036	PWY-7711
3.1.13.3-RXN	
RXN-15906	
RXN-17085	PWY-7721
PROPANOATECOA-LIGASE-RXN	
3.2.1.53-RXN	
RXN-9660	PWY1A0-6120 // PWY-5971
R542-RXN	P601-PWY
RXN-20168	PWY-8031
RXN-23408	PWY-8397
RXN-16494	PWY-7649
MALTET-RXN	
4.5.1.4-RXN	
RXN-18674	RXN-18679
RXN-944	PWY-142
RXN-17721	
RXN-17240	
4-METHYLENEGLUTAMATE--AMMONIA-LIGASE-RXN	
1.3.7.4-RXN	PWY-7170
RXN-23270	
RXN-8519	PWY-5413
RXN-8419	
1.1.1.52-RXN	PWY-7754 // PWY-8134 // PWY-7755
RXN0-5108	
RXN-15778	PWY-7547
RXN-21657	PWY-8174
RXN-14927	PWY-7525
RXN-19466	RXN-19470 // PWY-6408
RXN-15465	PWY-7489
RXN-19803	PWY-8152 // PWY-6944
RXN1G-240	PWYG-321
RXN-10636	PWY-6271
RXN-1101	PWY-361
RXN-12722	
RXN-3588	PWY-2343
RXN-20969	PWY-6036
RXN-19272	PWY-8483 // PWY-7957 // PWY-7959 // PWY-7958
RXN-22597	PWY-6262
RXN2B4Q-65	PWY2B4Q-8
RXN-20890	
1.14.11.24-RXN	PWY-5925
RXN66-28	PWY-8239 // PWY66-4 // PWY-8191
3.5.1.97-RXN	
RXN-22846	PWY-8336
RXN-718	PWY-699
RXN-17048	PWY-7712
RXN-13851	PWY-7151
RXN-12017	
RXN-9952	OXIDATIVEPENT-PWY
RXN-13455	PWY-7054
RXN-7282	PWY-6550 // FLUORENE-DEG-9-ONE-PWY
RXN-11444	PWY-6498
ARISTOLOCHENE-SYNTHASE-RXN	
RXN-21748	PWY-8179
RXN-15615	PWY-8273
1.14.11.26-RXN	PWY-5631
RXN-7692	PWY-6871 // PWY-5076
RXN-23028	
RXN-9796	PWY-6061
RXN-11486	PWY-6520
RXN-11594	
RXN-11168	
RXN-6682	PWY-6949
RXN-18611	PWY-7878
RXN-22755	PWY-8327
RXN-13750	
RXN-18590	PWY-7874
RXN-14631	PWY-7303
RXN-17464	
GLYCEROL-1-PHOSPHATASE-RXN	
RXN-23410	PWY-8397
RXN-15352	PWY-7458
RXN-3761	PWY-2083
RXN-22887	
RXN-2163	PWYQT-4477 // PWY-601
RXN-14509	
RXN-9093	PWY-5800
RXN1G-1439	PWYG-321
RXN-9641	PWY-5990 // RXN-14132
RXN-11156	
RXN-23233	PWY-8379
RXN-14813	
RXN-2002	PWY-6458 // PWY-6443 // P281-PWY // PWY-6446
RXN-10988	
RXN-8771	PWY-5523
RXN-22110	PWY-8214
RXN-13123	PWY-7000 // PWY-7022 // PWY-7014
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
RXN0-2201	RXN-16003
RXN-21255	PWY-8122
2.7.8.11-RXN	PHOSLIPSYN2-PWY // PWY-7625 // PWY-6352 // PWY-6351
1.1.1.288-RXN	PWY-695
DIACYLGLYKIN-RXN	PWY-7817 // PWY-7039
RXN-15611	PWY-7520
RXN2B4Q-49	PWY2B4Q-4
RXN-8719	PWY-5476
RXN-12846	
RXN-16340	PWY-7629
LACTATE-ALDOLASE-RXN	
RXN-20632	
6.3.1.9-RXN	TRYPANOSYN-PWY
RXN-22777	
RXN-23116	PWY-8364
RXN-16437	PWY-7637 // RXN-16438
PEPTIDYL-GLUTAMINASE-RXN	
2.7.12.2-RXN	
RXN-15510	RXN-15513
RXN-11934	PWY-2541 // PWY-8238
RXN-5422	PWY-3162
RXN-8786	PWY-5526
RXN-15204	
RXN-21552	PWY-8163
RXN-8825	PWY-5643
RXN-9146	PWY-5818
RXN-8167	
RXN-17983	PWY-7811
RXN-11123	PWY-6408
RXN-11918	PWY-6672
RXN-24483	RXN-24488
RXN-16120	PWY-6453
RXN-11106	PWY-8392
RXN-9939	PWY-6117
RXN-24503	PWY-8515
ALIZARIN-2-BETA-GLUCOSYLTRANSFERASE-RXN	
RXN-12090	
RXN-9193	PWY-5829 // PWY-6678
RXN-5066	PWY-3022 // RXN-18099
RXN-22484	PWY-8283
RXN-12205	PWYQT-4476
RXN-12195	PWY-7198 // PWY-7185 // RXN-12200 // PWY-7210 // PWY-7184 // PWY-6545
RXN-18250	PWY-7831
RXN0-5101	
RXN-20376	PWY-7035
RXN-8204	PWY-7450 // PWY-7679 // PWY-5313 // PWY-5284
RXN-14577	PWY-7291
RXN-13951	PWY-7168
RXN-21040	
CARNCOARACE-RXN	
RXN-22647	PWY-8319
BIS2-ETHYLHEXYLPHTHALATE-ESTERASE-RXN	
RXN-19763	
RXN-19774	
RXN-9052	PWY-6427
RXN-24199	PWY-8476
RXN-13552	PWY-7079
P-PANTOCYSLIG-RXN	PWY-8342 // COA-PWY
4-HYDROXYBENZOATE--COA-LIGASE-RXN	PHENOLDEG-PWY // PWY-7046
RXN-16021	PWY-7049 // PWY-6958
RXN-18244	PWY-7832
CITSYN-RXN	FERMENTATION-PWY // PWY-6549 // P105-PWY // PWY-6969 // PWY-7254 // PWY-5913 // PWY66-398 // PWY-6728 // PWY-5690 // TCA // PWY-7124 // GLYOXYLATE-BYPASS // REDCITCYC
RXN-10884	
RXN-21153	PWY-8117 // RXN-21103
RXN-17893	PWY-7799
RXN-17699	PWY-641
RXN-4726	PWY-2902
RXN-10632	PWY-6659 // PWY-7517
2.1.1.128-RXN	PWY-3581
RXNQT-4165	
RXN-18220	
RXN-16413	RXN-8184 // PWY-7636
RXN-22627	
RXN-10	PWY-5
RXN-24213	RXN-24215
RXN-23816	
RXN1G-613	PWYG-321
RXN-12410	
RXN-11386	PWY-6493
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	PWY66-368 // PWY66-367
RXN-14902	
5.1.99.4-RXN	
RXN-19673	PWY-8000 // RXN-19676
RXN0-7291	
RXN-9208	
RXN-17151	PWY-7733
RXN-19122	
RXN-16110	PWY-7604
RXN-14039	
RXN-22934	PWY-8344
RXN0-6371	
RXN-21677	PWY-8175
RXN-16853	PWY-7781
RXN-16419	
RXN-12039	PWY-6686
RXN3O-470	PWY3O-440 // RXN0-2022
RXN-22780	RXN-22781
RXN-23543	RXN-23542
RXN-11669	PWY-6585
RXN-19947	PWY-5941
RXN-15264	PWY-7371 // PWY-7374
RXN-20893	
RXN0-5461	PWY0-1569
RXN-23849	
RXN-21578	PWY-5956
3.6.1.17-RXN	
RXN-16681	PWY-7667
RXN-7066	PWY-4421
RXN-23549	PWY-8407
RXN-11975	PWY-6679 // PWY-7485 // RXN-15677 // PWY-7483
3.5.5.5-RXN	
4-HYDROXYPROLINE-EPIMERASE-RXN	PWY-5159
RXN-18964	RXN-8185
CATECHOL-OXIDASE-RXN	PWY-6752
RXN-21431	
RXN-23240	PWY-8380
RXN-16128	PWY-7605
RXN-20902	PWY-8083 // RXN-20870
RXN-15051	
RXN-19759	PWY-6769
ALKAPHOSPHA-RXN	
RXN-13741	
RXN-15439	PWY-2981 // RXN-15437
RXN-16683	PWY-7667
4.3.1.14-RXN	P163-PWY
RXN-16704	PWY-7945 // PWY-7944
RXN-21107	PWY-8117
RXN-8398	
RXN-16131	PWY-7606
RXN-9667	PWY-5997
2.4.1.223-RXN	PWY-6558
RXN-12071	PWY-6690
RXN-8410	PWY-5370
RXN-7796	PWY-5129
RXN-22050	
THIAZOLSYN3-RXN	PWY-7357 // PWY-6897 // PWY-7356
RXN-22962	PWY-8348
RXN-22783	
RXN-5285	CHLOROPHYLL-SYN
UDP-NACMURALGLDAPAALIG-RXN	PWY-6387 // PWY-7953
RXN-12028	PWY-6687 // PWY-6685
RXN-4823	PWY-2961
RXN-23578	PWY-8408
RXN-20193	PWY-8032
RXN-15483	PWY-7490
RXN-12890	RXN-13225
RXN-8977	PWY-5747
RXN-22286	
RXN-23083	PWY-8361
RXN-7825	
TROPINESTERASE-RXN	
RXN-23426	PWY-8397
RXN-21930	
RXN8J2-182	PWY-8489
RXN-21723	PWYG-321
RXN-18283	
RXN-21886	PWY-8230
CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN	P2-PWY
RXN-14447	PWY-7259
RXN-15559	PWY-7511
RXN-11339	RXN-20088
RXN66-617	PWY-5994
RXN-24403	
1.1.1.147-RXN	
RXN-19737	
RXN8J2-180	PWY-8489
RXN-8088	
RXN2B4Q-48	PWY2B4Q-4
RXN-20643	
RXN-14450	PWY-7265
RXN-19140	PWY-7940
RXN-13219	PWY-7019
RXN-7922	PWY-5152
GLYCOPROTEIN-O-FATTY-ACYLTRANSFERASE-RXN	
RXN-22552	
STERYL-BETA-GLUCOSIDASE-RXN	
RXN-19799	PWY-8152 // PWY-6944
RXN-23745	PWY-8438
RXN1G-26	PWYG-321
RXN-18249	PWY-7831
RXN-17629	
RXN-21736	PWY-8179
RXN-16127	PWY-7605
RXN-19423	
RXN-19905	PWY-7138
1.14.13.70-RXN	PWY-2541 // PWY-8238
RXN-12434	
RXN-16248	
RXN-13442	PWY-7727 // PWY-7606 // PWY-7053
RXN-13444	PWY-7727 // PWY-7606 // PWY-7053
RXN-18069	PWY-7821
RXN-24474	
RXN-17741	PWY-7783
OCTOPAMINE-DEHYDRATASE-RXN	PWY-7431
S-2-METHYLMALATE-DEHYDRATASE-RXN	PWY-5087
2.3.1.116-RXN	
RXN-22945	PWY-8345
2.3.1.172-RXN	PWY-5268
RXN-23372	
RXN-16008	
FORMIMINOGLUTAMATE-DEIMINASE-RXN	PWY-5028
RXN-16510	
RXN0-7352	
RXN-9731	PWY-6041
RXN-20510	
2.7.7.51-RXN	PWY-6794
RXN-18624	PWY-5292
11-CIS-RETINYL-PALMITATE-HYDROLASE-RXN	
2.4.1.47-RXN	PWY-7840
RXN-10424	PWY-6216
RXN-20995	
RXN0-5213	
RXN-5142	PWY-5423
RXN-10929	PWY-6346
RXN-22667	RXN-22660
RXN-18868	PWY-7915
FATTY-ACYL-COA-SYNTHASE-RXN	
BAIAEUBSP-RXN	PWY-7754
RXN-24163	
1.8.1.15-RXN	PWY1G-126
D-TRYPTOPHAN-N-MALONYLTRANSFERASE-RXN	
1.1.1.259-RXN	PWY-8485 // PWY-301 // PWY-7401 // CENTBENZCOA-PWY // P321-PWY
RXN-16344	PWY-7749 // PWY-5479
RXN-22095	PWY-8210
RXN-18731	
3-PROPYLMALATE-SYNTHASE-RXN	
RXN-13684	
2.7.1.88-RXN	
RXN-19542	
RXN-9677	PWY-6003
RXN-17055	PWY-7713
RXN-18480	PWY-7859 // RXN-18487
RXN-18606	
RXN-11179	PWY-6420
RXN-23537	
2.3.1.171-RXN	
CYTOKININ-7-BETA-GLUCOSYLTRANSFERASE-RXN	
RXN-12493	PWY-6836
RXN-14429	PWY-7255
2.7.1.140-RXN	PWY-6554 // PWY-6372 // PWY-6362 // PWY-6366 // PWY-6365
RXN-15199	PWY1A0-6325
RXN-21135	
RXN-17007	PWY-5027
NITRATE-REDUCTASE-NADH-RXN	PWY-381
1.1.3.39-RXN	
RXN-20484	PWY-6419
RXN-14799	PWY-7340
RXN-13358	PWY-7043
RXNQT-4347	PWYQT-4450
HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN	PWY-8016 // PWY-5754
RXN-24388	
RXN-13975	
RXN-11257	PWY-6442
RXN-20472	PWY-8047
RXN-16307	
RXN-15779	PWY-7547
RXN-23397	PWY-8397
RXN-22021	
BUTYRATE-KINASE-RXN	CENTFERM-PWY
RXN-9187	PWY-5828
RXN-10616	PWY-6261
RXN0-703	PWY-6961
2.1.1.3-RXN	
RXN-10441	PWY-6668
RXN-22942	PWY-8344
RXN-13520	PWY-7071
RXN-19501	PWY-7987
RXN-21158	PWY-6432 // RXN-11224
RXN-21940	
RXN-16267	PWY66-425 // PWY-7667 // PWY-7668
RXN-20100	
RXN-22642	PWY-8418 // PWY8J2-25
RXN-23079	PWY-8361
2.1.1.84-RXN	PWY-7151
2.4.2.35-RXN	
RXN-16599	PWY-7661
RXN-14667	PWY-7301
RXN-904	PWY-81
RXN-10081	PWY-6185
RXN-21317	PWY-8131
RXN-16574	PWY-5285 // PWY-7927 // RXN-13161 // SULFUROX-PWY
DHS-PHOSPHATASE-RXN	PWY-7119
ADENPRIBOSYLTRAN-RXN	PWY-7807 // PWY-7805 // P121-PWY // PWY-6610 // PWY-6605
RXN-16586	PWY-7660
RXN-18329	
RXN-12893	
RXN-10868	
RXN-14544	PWY-7287
RXN-12386	PWY-6804
RXN-8982	PWY-5748
ASNSYNB-RXN	ASPARAGINE-BIOSYNTHESIS
RXN-17192	PWY-7769 // PWY-6322
RXN-9651	PWY66-430
RXN1G-881	PWYG-321
RXN-7834	PWY-5139
RXN-18264	PWY-7833
RXN-17708	PWY-6660 // RXN-17715 // RXN-17711
RXN-18324	
6.3.2.10-RXN	PWY-6386
RXN-14811	
RXN-22134	PWY-8220
RXN-11213	VALDEG-PWY
RXN-15433	PWY-7484
RXN-24219	PWY-8481
RXN-5121	PWY-5423
ACTINOMYCIN-LACTONASE-RXN	
RXN0-7385	
RXN-12914	PWY-6971
RXN-15782	PWY-7547
RXN-11939	PWY-2541
RXN-18831	PWY-7911
