Pathways	Reactions of pathway
PWY66-374	RXN-22184 // RXN-22182 // RXN-22265 // RXN-22183 // PROSTAGLANDIN-E2-9-REDUCTASE-RXN // RXN-21138 // 1.1.1.196-RXN // 1.1.1.231-RXN // 1.1.1.188-RXN // 15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN // 1.1.1.141-RXN // RXN-12122 // THROMBOXANE-A-SYNTHASE-RXN // PROSTAGLANDIN-E-SYNTHASE-RXN // PROSTAGLANDIN-D-SYNTHASE-RXN // PROSTAGLANDIN-I-SYNTHASE-RXN // PROSTAGLANDIN-ENDOPEROXIDE-SYNTHASE-RXN
PWY-6898	THIAMIN-PYROPHOSPHOKINASE-RXN
PWY-2201	RXN-5061 // RXN-22438 // RXN-21991 // GLYOHMETRANS-RXN // METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // FORMYLTHFDEFORMYL-RXN // GCVMULTI-RXN // HOMOCYSMETB12-RXN // 1.5.1.20-RXN // 5-FORMYL-THF-CYCLO-LIGASE-RXN // 1.5.1.15-RXN
ARG-GLU-PWY	ORNITHINE-CYCLODEAMINASE-RXN // ARGINASE-RXN
PWY-3881	MANNPISOM-RXN // MANNOSE-6-PHOSPHATE-6-REDUCTASE-RXN // MANNITOL-1-PHOSPHATASE-RXN
PWY-6381	RXN-11014 // RXN-11013 // LYSDECARBOX-RXN // RXN-10995 // RXN-10996
PWY1YI0-3	RXN1YI0-22 // RXN1YI0-14 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN
PWY-8336	RXN-22853 // RXN-22849 // RXN-22846 // RXN-22843 // RXN-22840 // RXN-22856 // RXN-22855 // RXN-22841
PWY-5152	RXN-13718 // RXN-525 // RXN-7784 // RXN-7922 // RXN-7921
PWY-6423	RXN-11200 // RXN-11199 // RXN-11198 // RXN-10785 // RXN-11197 // 3.4.23.39-RXN // 3.4.23.38-RXN
PWY66-4	RXN-13709 // RXN-13712 // RXN3O-130 // RXN66-314 // RXN66-319 // RXN66-318 // RXN66-313 // RXN66-306 // RXN-11887 // LANOSTEROL-SYNTHASE-RXN // RXN66-281 // RXN-12263 // SQUALENE-MONOOXYGENASE-RXN // RXN66-28 // RXN66-27 // RXN66-320
PWY-4681	RXN-7227 // RXN-7226 // RXN-7225 // RXN-7224
PWY-7807	INORGPYROPHOSPHAT-RXN // ADENPRIBOSYLTRAN-RXN // RXN0-1401 // RXN0-6710 // RXN-17959 // RXN-17958 // RXN-17957
PWY-8360	RXN-23069 // RXN-23068 // RXN-23066 // RXN-23067 // RXN-23065 // RXN-23064 // RXN-23063 // RXN-23062 // RXN-23061 // RXN-23060 // RXN-23059 // RXN-23058 // RXN-23057 // RXN-23056 // RXN-16468
PWY-5670	RXN66-281 // RXN-12263 // SQUALENE-MONOOXYGENASE-RXN
PWY-5643	RXN-8827 // RXN-8826 // RXN-8825
PWY-7025	RXN-14346 // RXN-14345 // RXN-13241 // RXN-13240 // RXN-13239 // RXN-13238 // RXN-13237 // RXN-13236 // RXN-13235 // RXN-13234 // RXN-13233 // RXN-13232
PWY-8177	DIMETHYLALLYLCISTRANSFERASE-RXN // RXN-21729
PWY-8502	RXN-24418 // RXN-24417 // RXN-24416 // RXN-24415 // RXN-23894
PWY-5034	1.14.13.79-RXN // RXN1F-160 // RXN1F-161 // 1.14.13.78-RXN // RXN-5242 // RXN-7580
PWY-66	FCLREDUCT-RXN // FCLEPIM-RXN // GDPMANDEHYDRA-RXN
PWY0-1599	RXN0-7310 // RXN-20000 // RXN-20056
LCYSDEG-PWY	RXN-15127 // RXN-15124 // RXN-15129
PWY-5180	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // TOLUENE-2-MONOOXYGENASE-RXN // O-CRESOL-METHYLCATECHOL-RXN // 2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN // CATECHOL-2-3-DIOXYGENASE-RXN
PWY-7524	IPPISOM-RXN // RXN-10068 // RXN-15649 // RXN-15648 // RXN-15647 // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-5729	RXN-8937 // RXN-8936
PWY-7196	CDPKIN-RXN // RXN-11832 // CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // URACIL-PRIBOSYLTRANS-RXN // CYTIKIN-RXN // URIDINEKIN-RXN // URIDINE-NUCLEOSIDASE-RXN // CYTIDEAM2-RXN
PWY-7674	RXN-16804 // RXN-16748 // RXN-16746 // RXN-16747 // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN
PWY-6318	RXN-10817 // RXN-10814 // RXN-10819 // GLUTAMINE-N-PHENYLACETYLTRANSFERASE-RXN // PHENDEHYD-RXN // RXN-10816 // RXN-10815 // RXN-10821 // PHENYLALANINE-DECARBOXYLASE-RXN
PWY-6154	RXN-10016 // RXN-10018 // RXN-10019 // RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN // RXN-7605
PWY-7421	RXN-15110 // RXN-15106 // RXN-15107 // RXN-15099 // RXN-15102 // RXN-15105
PWY-6292	RXN-15130 // CYSTATHIONINE-BETA-SYNTHASE-RXN // S-ADENMETSYN-RXN // ADENOSYLHOMOCYSTEINASE-RXN // RXN-7605
PWY-7040	RXN-18167 // RXN-13347 // RXN-13346 // RXN-13345 // RXN-13344 // RXN-13343 // RXN-13342 // RXN-13341 // RXN-13340 // RXN-10922
PWY-7079	RXN-13553 // RXN-13552 // RXN-13551 // QUESTIN-MONOOXYGENASE-RXN // RXN-13550
PWY-5797	RXN-3184 // RXN-2946 // RXN-9097 // RXN-9102
PWY-7237	RXN-14150 // RXN-14149 // MYO-INOSOSE-2-DEHYDRATASE-RXN // RXN-2902 // 4.1.2.29-RXN // 5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-14178 // RXN-14148 // RXN-13779
PWYQT-4473	RXN-19592 // RXNQT-4321 // RXN-11441 // RXN-11433 // RXN-11425 // RXN-11417 // RXNQT-4336 // RXNQT-4331 // RXNQT-4326 // RXNQT-4311
PWY-1269	RXN-16804 // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN
PWY-4261	TRANS-RXN-131 // RXN-15745 // GLYCEROL-KIN-RXN
PWY-6672	ACETATE--COA-LIGASE-RXN // RXN-11921 // RXN-11920 // RXN-11919 // RXN-11918 // RXN-11917 // 4.1.3.26-RXN // ISOHEXENYLGLUTACONYL-COA-HYDRATASE-RXN // GERANOYL-COA-CARBOXYLASE-RXN
PWY-6125	DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN
PWY-7174	RXN-21334 // RXN-21333 // O-ACETYLHOMOSERINE-THIOL-LYASE-RXN // RXN-14006 // 5.3.1.23-RXN
HEXITOLDEGSUPER-PWY	RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // TRANS-RXN-161 // RXN-16992 // 1.1.1.251-RXN // TAGAALDOL-RXN // TAGAKIN-RXN // SORB6PDEHYDROG-RXN // MANNPDEHYDROG-RXN
PWY-7385	RXN0-7077 // GLUCOKIN-RXN // PGLUCISOM-RXN // RXN0-6487 // GLYCEROL-DEHYDRATASE-RXN // 1.1.1.8-RXN // RXN-14965 // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN
PWY-7984	RXN-19438 // RXN-9377 // RXN-19454 // DHBAMPLIG-RXN // RXN-19446 // RXN-19487 // RXN-19488 // RXN-19489 // RXN-19471
PWY-3097	RXN-7227 // RXN-7226 // RXN-7225 // RXN-7224 // RXN-7781 // RXN-7780 // RXN-7779 // RXN-7143 // RXN-7142 // RXN-7141 // RXN-7750 // RXN-7650 // RXN-7686 // RXN-5502 // RXN-5501 // RXN-3761 // RXN-3645 // RXN-3642 // RXN-3303 // RXN-1541
PWY-2901	RXN-4734 // RXN-4732 // RXN-4730 // RXN-4728 // RXN-4725 // RXN-4722
PWY-7895	RXN-18715 // RXN-18714 // RXN-18713 // RXN-18712 // RXN-18711
PWY-8043	RXN-20408 // RXN-20400 // RXN-20401
PWY-5793	RXN-9085 // RXN-9082
P662-PWY	R608-RXN // R607-RXN // R606-RXN
PWY-7609	RXN-16147 // RXN-16146 // RXN-16128 // RXN-16127 // RXN-16126 // RXN-16125 // RXN-16124 // RXN-16145 // RXN-16144 // RXN-16143 // RXN-16142 // RXN-16141 // RXN-16140
PWY-6999	RXN-13113 // RXN-13114 // RXN-13115 // XANTHINE-OXIDASE-RXN // RXN0-901 // RXN-13111 // RXN-13110 // RXN-13109 // RXN-13108
PWY-6052	RXN-9736
PWY-7405	AMINOBENZCOALIG-RXN // RXN-15024 // RXN-15023 // RXN-15022 // RXN-15021
PWY-8521	RXN-24563 // RXN-24562 // RXN-24561 // RXN-24560
PWY-6493	RXN-24053 // RXN-24052 // RXN-24051 // RXN-13468 // RXN-11386 // TRYPTOPHAN-DIMETHYLALLYLTRANSFERASE-RXN
PWY0-1573	RXN0-7124 // RXN0-5330
PWY-5109	RXN-15031 // 2-METHYLACYL-COA-DEHYDROGENASE-RXN // PROPIONATE-COA-TRANSFERASE-RXN // TIGLYLCOA-HYDROXY-RXN // 1.1.1.178-RXN // METHYLACETOACETYLCOATHIOL-RXN
PWY-8470	RXN0-6484 // 3.1.26.5-RXN // RXN-24140
PWY-5794	RXN-9730 // RXN-9729 // RXN-9728
PWY-5031	RXN-7572 // RXN-7571
PWY-6121	AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-5339	RXN-8283
PWY-7651	RXN-16509 // 4.2.2.8-RXN // N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN
PWY-6095	RXN-9895
PWY-6271	RXN-10637 // RXN-10636 // RXN-10635
PWY-7289	RXN-14567 // RXN-14564 // RXN-14565 // RXN-14566
PWY-6588	ACETOACETYL-COA-TRANSFER-RXN // 2.8.3.9-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUFLAVREDUCT-RXN
PWY-7380	RXN-17473 // RXN-17472 // RXN-14930 // DETHIOBIOTIN-SYN-RXN
PWY-5268	RXN-8139 // 2.3.1.172-RXN // RXN-8140 // RXN-7997 // RXN-8138 // RXN-7828
PWY-101	RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN
PWY-8134	1.1.1.52-RXN // RXN-21341 // RXN-21340 // RXN-21344 // RXN-17419 // RXN-17416 // RXN-21343 // RXN-21342
PWY-6045	RXN-9738
PWY-6378	RXN-11006 // RXN-11007 // RXN-11008 // RXN-11009
PWY-7776	RXN-17587 // RXN-17590 // RXN-17586 // RXN-17585 // RXN-17583 // RXN-17582 // RXN-17581 // RXN-17580
PWY-7141	4.2.3.25-RXN // GPPSYN-RXN
PWY-7825	JUGLONE-3-MONOOXYGENASE-RXN // RXN-17964 // RXN-17965
PWY-7450	RXN-8204 // RXN-15333 // RXN-15332 // RXN-15331 // RXN-15330 // RXN-15329 // RXN-15328 // RXN-15326 // RXN1F-775
PWY-7860	RXN-13567 // RXN-13566
PWY-5959	RXN-9498 // RXN-9497 // 2.1.1.110-RXN
PWY-5071	RXN-7633 // RXN-7632 // 2.6.1.49-RXN // TYROSINE-3-MONOOXYGENASE-RXN // PHENYLALANINE-AMMONIA-LYASE-RXN // TRANS-CINNAMATE-4-MONOOXYGENASE-RXN // 4-COUMARATE--COA-LIGASE-RXN // 1.1.1.222-RXN // TYROSINE-AMINOTRANSFERASE-RXN // RXN-7629 // RXN-7628 // RXN-7631 // RXN-7626 // RXN-7630
PWY-6374	DHBAMPLIG-RXN // RXN-10989 // RXN-10990 // RXN-10991 // RXN-10992 // RXN-10993 // DHBDEHYD-RXN // ISOCHORMAT-RXN // ISOCHORSYN-RXN
GOLPDLCAT-PWY	GLYCERONE-KINASE-RXN // GLYCDEH-RXN // 13-PROPANEDIOL-DEHYDROGENASE-RXN // GLYCEROL-DEHYDRATASE-RXN
PWY-5340	ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN
PWY0-1261	RXN-17391 // TRANS-RXN0-226 // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // RXN0-2361 // RXN0-5227 // NAG1P-URIDYLTRANS-RXN // 2.3.1.157-RXN // 5.4.2.10-RXN // NAG6PDEACET-RXN // RXN0-5225 // RXN0-5226 // RXN0-4621 // RXN0-4641
PWY-5021	RXN-7543 // RXN-7541
PWY-5342	RXN-8288 // RXN-8284
PWY-8041	RXN-20351 // RXN-20350 // RXN-20349 // RXN-20348 // RXN-20347 // RXN-20346 // RXN-20345 // RXN-20344 // RXN-20343 // RXN-20342 // RXN-20341 // RXN-20340 // RXN-20339 // RXN-20338 // RXN-20337 // RXN-20336 // RXN-20335 // RXN-20334 // RXN-20333 // RXN-20332
PWY-8186	1.21.4.1-RXN // RXN-20164 // PROLINE-RACEMASE-RXN
PWY-6932	RXN-12865 // RXN-12867 // RXN-12864 // RXN-12721 // RXN-12720
ASPARAGINE-DEG1-PWY	ASPARAGHYD-RXN
PWY-5853	RXN-9217
PWY490-3	FERREDOXIN--NITRITE-REDUCTASE-RXN // 1.7.7.2-RXN
PWY-5855	RXN-9229 // RXN-9224 // RXN-9223 // RXN-9222 // RXN-9228 // RXN-9227 // RXN-9226 // RXN-9225
M-CRESOL-DEGRADATION-PWY	3-HYDROXYBENZOATE-4-MONOOXYGENASE-RXN // 3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN // 3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN // BENZYL-ALCOHOL-DEHYDROGENASE-RXN // 3-5-XYLENOL-METHYLHYDROXYLASE-RXN
PWY-6697	OXALATE-OXIDASE-RXN
PWY-5415	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // 3.7.1.9-RXN // CATECHOL-23-DIOXYGENASE-RXN
PWY-8074	RXN-20791 // RXN-20790
PWY-7950	RXN-23874 // RXN-23873 // RXN-23872 // RXN-23871 // RXN-23870 // RXN-19184
PWY-3181	RXN-1401 // INDOLE-3-ACETALDEHYDE-OXIDASE-RXN // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN
PWY-6678	RXN-11972 // RXN-11970 // RXN-9193 // RXN-11969 // RXN-11971 // RXN-11968
PWY-5743	RXN0-5224 // BIOTIN-CARBOXYL-RXN // RXN0-5055 // RXN-9086 // RXN-9087 // RXN-6383 // MALYL-COA-LYASE-RXN // RXN-8964 // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // PROPIONYL-COA-CARBOXY-RXN // RXN-8974 // RXN-8963
PWY-6769	RXN-19759
PWY4LZ-257	HYDROG-RXN // RXN-6161 // PYRUFLAVREDUCT-RXN // ACETALD-DEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN // DLACTDEHYDROGNAD-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUVFORMLY-RXN
P142-PWY	PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // PYRUFLAVREDUCT-RXN
PWY-5267	RXN-18217 // RXN-18216 // RXN-8137 // RXN-8136 // RXN-8135 // RXN-8134
PWY-7342	RXN-8246 // RXN-8244 // PUTRESCINE-N-METHYLTRANSFERASE-RXN // RXN-8444 // L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // RXN-13060 // RXN-13059 // RXN-13058 // RXN-13057 // RXN-8248
PWY-7797	RXN-17843 // RXN-17838 // RXN-17837 // RXN-17833 // RXN-17832 // RXN-17831
PWY-7440	RXN-12404 // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12943 // RXN-15233 // RXN-15227 // RXN-15226 // RXN-15225
PWY-8127	RXN-21291 // RXN-21290 // RXN-21289 // RXN-21288
PWY-5151	TYROSINE-AMINOTRANSFERASE-RXN // 1.2.3.13-RXN
PWY-5068	RXN-18400 // RXN-7679 // RXN-7678 // RXN-7677 // RXN-7676 // RXN-7674 // RXN1F-66
PWY-6044	RXN-9770
PWY-2242	RXN-3483 // RXN-3482 // AMONITRO-RXN
PWY-5254	RXN-15949 // RXN-15947 // RXN-15945 // RXN-15944 // RXN-15946 // TYROSINE-DECARBOXYLASE-RXN // RXN-8123 // RXN-8119
CO2FORM-PWY	RXN-8096 // RXN-8095
PWY-7414	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-12840 // RXN-12810 // RXN-12772
PWY-6338	1.2.1.67-RXN // RXN-2 // RXN-2464 // OXALODECARB-RXN // 1.2.1.45-RXN // RXN-9983 // RXN-2462 // RXN-2463 // R107-RXN // PROTOCATECHUATE-45-DIOXYGENASE-RXN
PWY-6383	RXN-11027 // IPPISOM-RXN // GPPSYN-RXN // 2.5.1.68-RXN // RXN-11023
PWY-7262	RXN-8169 // RXN1F-775
PWY2DNV-4	RXN-23615 // RXN2DNV-17 // RXN2DNV-16 // RXN2DNV-15 // RXN2DNV-14 // RXN2DNV-13
PWY-5802	RXN-9105
PWY0-1567	RXN0-5268 // RXN0-5330
PWY-7115	TRANS-RXN-399 // TRANS-RXN-373 // RXN0-5224 // MALATE-DEH-RXN // 1.1.1.39-RXN // RXN-13698 // RXN-13697 // PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN // ALANINE-AMINOTRANSFERASE-RXN // ASPAMINOTRANS-RXN // PEPCARBOX-RXN
PWY-6763	RXN-23791 // RXN-23792 // RXN-12254 // RXN-12261 // RXN-23786 // RXN-23789 // RXN-23790 // BENZYL-ALC-DEHYDROGENASE-RXN // RXN-6724
PWY-8304	2.1.1.86-RXN // RXN-22560 // RXN-22559
PWY-7113	RXN-13672
PWY-8227	RXN-22149 // TRANS-RXN0-279 // GLCNACPTRANS-RXN // FUC4NACTRANS-RXN // UDPMANACATRANS-RXN // UDPMANNACADEHYDROG-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RFFTRANS-RXN // TDPFUCACTRANS-RXN
PWY-7798	HYDROXYLAMINE-REDUCTASE-NADH-RXN // RXN-17886 // RXN-17884 // RXN-17887 // RXN-17880
PWY-6676	RXN-15349 // RXN-23217 // RXN-23218 // SULFATE-ADENYLYLTRANS-RXN // RXN-21586 // RXN-17803 // RXN-16435 // RXN-16434 // RXN-11940 // RXN-11941 // RXN-11942 // R17-RXN
PWY-6510	METHANOL-DEHYDROGENASE-RXN
PWY0-1601	LYSDECARBOX-RXN
PWY-6190	RXN-17090 // RXN-10106 // RXN-10090 // RXN-10093 // RXN-10096 // RXN-10099 // RXN-10100 // RXN-10101 // RXN-10107
PWY-8399	RXN-16139 // RXN-23497 // RXN-23496 // RXN-23495 // RXN-23494 // RXN66-496 // RXN-20582 // RXN66-495 // RXN66-494 // RXN-23493 // RXN-23492 // RXN-23491 // RXN-23490 // RXN-23489 // RXN-23488 // RXN-23487 // RXN-23486 // RXN-23485 // RXN-23484 // RXN-23483 // RXN-23482 // RXN-23481 // RXN-23480 // RXN-23479 // RXN-23477 // RXN-23478 // RXN-23476 // RXN-23475 // RXN-23474 // RXN-23473 // RXN-23517 // RXN-23516 // RXN-23515 // RXN-23514 // RXN-23513
NAD-BIOSYNTHESIS-II	RXN-5841 // RXN-5822 // NADPYROPHOSPHAT-RXN
PWY-5002	RXN-7487 // RXN-7486 // RXN-7484 // 2.3.1.151-RXN // RXN-7488
PWY-5271	RXN-8154 // 1.14.13.93-RXN // RXN-8153
PWY-7891	RXN-18706 // RXN0-7068 // RXN-18705 // RXN0-308
URDEGR-PWY	RXN0-5222 // RXN-24539 // TRANS-RXN0-444 // ALLANTOATE-DEIMINASE-RXN // URUR-RXN // UREIDOGLYCOLATE-HYDROLASE-RXN // ALLANTOICASE-RXN // ALLANTOINASE-RXN // UREIDOGLYCOLATE-LYASE-RXN
ILEUSYN-PWY	RXN-15121 // RXN-15123 // RXN-15122 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN
PWY1A0-6120	RXN-9514 // 4.2.1.58-RXN // RXN-9657 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9523 // RXN-9524 // 4.2.1.59-RXN // RXN-9659 // RXN-9527 // RXN-9528 // RXN-9655 // RXN-9660 // RXN-9531 // RXN-9532 // RXN-9533 // RXN-9661 // 2.3.1.180-RXN // RXN-15786 // RXN-15785 // RXN1UA-7906 // RXN1UA-7905 // RXN-15800 // RXN1A0-6114 // RXN1A0-6112 // RXN1A0-6110 // RXN1A0-6108 // RXN1A0-6104 // RXN1A0-6102 // RXN1A0-6098 // RXN1A0-6097 // RXN1A0-6094
PWY-6580	PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN // RXN-11639 // MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN
PWY-8328	ACETATE--COA-LIGASE-RXN
PWY-7517	FARNESYLTRANSTRANSFERASE-RXN // RXN-15595 // RXN-15594 // RXN-15593 // RXN-15592 // RXN-15591 // RXN-10632
PWY18C3-21	RXN-20313 // RXN-20311 // RXN-20310 // RXN18C3-59 // RXN18C3-57 // RXN18C3-58 // RXN18C3-56 // RXN18C3-55 // RXN18C3-54
FASYN-INITIAL-PWY	RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY66-393	RXN-20581 // RXN-20580 // RXN66-487 // RXN66-488 // RXN66-489
PWY-7441	RXN-15242
PWY-5026	RXN-1404
PWY-6636	RXN-11736
