Pathways	Common-Name
PWY-8298	streptozotocin biosynthesis
PWY-1381	fluorene degradation II
PWY-5856	ubiquinol-9 biosynthesis (early decarboxylation)
PWY-6361	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)
PWY-8233	<i>Escherichia coli</i> serotype O:169 O antigen biosynthesis
PWY-7098	vanillin and vanillate degradation II
PWY2PN3-13	ornithine-ammonia cycle
PWY-7619	juniperonate biosynthesis
PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer
PWY-5386-1	methylglyoxal degradation VIII
VALDEG-PWY	L-valine degradation I
PWY-7055	daphnetin modification
PWY-116	coniferin metabolism
PWY-6071	superpathway of phenylethylamine degradation
PWY-5928	(4<i>R</i>)-carvone biosynthesis
PWY-5877	beta-carboline biosynthesis
PWY-7717	3-hydroxy-4-methyl-anthranilate biosynthesis I
PWY-8460	<i>Streptococcus pneumoniae</i> serotype 2 capsular polysaccharide biosynthesis
PWY-7828	cyclobis-(1&rarr;6)-&alpha;-nigerosyl degradation
PWY-8299	(3<i>S</i>)-diazinane-3-carboxylate biosynthesis
PWY-7444	luteolin triglucuronide biosynthesis
PWY2DNV-3	(Kdo)<sub>2</sub>-lipid A modification (<i>H. pylori</i>)
PWY-8163	cytidylyl copper-molybdenum cofactor biosynthesis
PWY-8207	<i>Escherichia coli</i> serotype O:85/<i>Salmonella enterica</i> serotype O:17 O antigen biosynthesis
P108-PWY	pyruvate fermentation to propanoate I
PWY-2981	diterpene phytoalexins precursors biosynthesis
PWY-5532	nucleoside and nucleotide degradation (archaea)
PWY-8383	myxochelin A and B biosynthesis
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
PWY-6430	thymine degradation
PWY1G-1	mycothiol-mediated detoxification
PWY-5890	menaquinol-10 biosynthesis
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)
PWY-8386	benzene degradation II (aerobic)
PWY-5972	stearate biosynthesis I (animals)
PWY-4741	creatinine degradation III
PWY-8013	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis III
PWY-7345	superpathway of anaerobic sucrose degradation
PWY-8218	<i>Escherichia coli</i> serotype O:56 O antigen biosynthesis
PWY-8401	superpathway of cardiolipin biosynthesis (bacteria)
PWY-1501	mandelate degradation I
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis
ACETATEUTIL-PWY	superpathway of acetate utilization and formation
PWY-7675	Kdo transfer to lipid IV<sub>A</sub> (<i>Haemophilus</i>)
REDCITCYC	TCA cycle VI (Helicobacter)
PWY-6294	selinene biosynthesis
PWY-7687	stipitatate biosynthesis
PWY-7806	glyphosate degradation II
PWY66-375	leukotriene biosynthesis
PWY-7908	formaldehyde oxidation V (bacillithiol-dependent)
PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
FASYN-ELONG-PWY	fatty acid elongation -- saturated
PWY-8400	docosahexaenoate metabolites biosynthesis
PWY-8362	photorespiration II
HEME-BIOSYNTHESIS-II-1	heme <i>b</i> biosynthesis V (aerobic)
PWY-7275	L-homophenylalanine biosynthesis
PWY-5259	methanogenesis from methanethiol
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I
PWY-6437	fenchol biosynthesis I
GALDEG-PWY	D-galactose degradation II
PWY-6129	dolichol and dolichyl phosphate biosynthesis
PWY-1541	superpathway of taurine degradation
PWY-6909	thiazole component of thiamine diphosphate biosynthesis III
PWY-7091	linustatin bioactivation
PWY-3621	&gamma;-butyrobetaine degradation II
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)
PWY-8355	peptido-conjugates in tissue regeneration biosynthesis
PWY-6812	xyloglucan degradation III (cellobiohydrolase)
PWY-7577	ferrichrome biosynthesis
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis III (<i>E. coli</i>)
PWY-7874	L-threonate degradation
PWY-5925	hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-5291	canthaxanthin biosynthesis
PWY-6967	methylamine degradation I
PWY-5668	cardiolipin biosynthesis I
PWY-8514	DsRed-type red fluorescent protein chromophore biosynthesis
PWY-6002	lotaustralin degradation
PWY0-1533	methylphosphonate degradation I
PWY-7977	L-methionine biosynthesis IV
PWY-5788	indole-3-acetate inactivation V
PWY-8250	<i>Escherichia coli</i> serotype O:9 O antigen biosynthesis
AEROBACTINSYN-PWY	aerobactin biosynthesis
PWY-7980	ATP biosynthesis
PWY-7019	butirosin biosynthesis
LEUSYN-PWY	L-leucine biosynthesis
PWY-6786	detoxification of reactive carbonyls in chloroplasts
PWY-6962	superpathway of trimethylamine degradation
PWY-804	glycolate degradation II
PWY-5834	CDP-tyvelose biosynthesis
PWY-7170	phytochromobilin biosynthesis
PWY-7333	UDP-<i>N</i>-acetyl-&alpha;-D-fucosamine biosynthesis
CHOLINE-BETAINE-ANA-PWY	choline degradation I
PWYQT-4476	indole glucosinolate activation (herbivore attack)
PWY-6829	tRNA methylation (yeast)
PWY-5805	nonaprenyl diphosphate biosynthesis I
PWY-7085	triethylamine degradation
PWY-8057	pyruvoyl group formation from L-serine
PWY-6942	dTDP-D-desosamine biosynthesis
PWY-5153	anthocyanin biosynthesis (delphinidin 3-O-glucoside)
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation
PWY-5418	phenol degradation I (aerobic)
P125-PWY	superpathway of (<i>R,R</i>)-butanediol biosynthesis
PWY-5053	superpathway of gibberellin GA<sub>12</sub> biosynthesis
PWY-6239	luteolin glycosides biosynthesis
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis
PWY-5105	hesperitin glycoside biosynthesis
PWY-7131	CMP-legionaminate biosynthesis II
PWY-3081	L-lysine biosynthesis V
PWY-5470	palmatine biosynthesis
PWY-8179	platensimycin biosynthesis
PWY-6536	4-aminobutanoate degradation III
PWY-7212	baicalein metabolism
PWY-6285	superpathway of fatty acids biosynthesis (<i>E. coli</i>)
PWY-7205	CMP phosphorylation
PWY-6457	cinnamoyl-CoA biosynthesis
PWY-5875	staphyloxanthin biosynthesis
PWY-6948	sitosterol degradation to androstenedione
PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina)
PWY-6184	methylsalicylate degradation
PWY-8108	glycine betaine degradation IV
PWY-7787	L-threitol degradation
PWY-3661	glycine betaine degradation I
PWY-7627	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation
PWY-7476	superpathway of avenacin A biosynthesis
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-6620	guanine and guanosine salvage I
PWY-2055	superpathway of pterocarpan biosynthesis (via daidzein)
PWY-5317	tropane alkaloids biosynthesis
PWY-7403	tetramethylpyrazine degradation
VALSYN-PWY	L-valine biosynthesis
PWY-7775	propane degradation II
PWY-5884	wax esters biosynthesis I
PWY-7411	phosphatidate biosynthesis (yeast)
PWY-8191	cholesterol biosynthesis (algae, late side-chain reductase)
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer
PWY-7112	4-hydroxy-2-nonenal detoxification
PWY-6587	pyruvate fermentation to ethanol III
PWY-6526	limonene degradation III (to perillate)
PWY-7623	astaxanthin dirhamnoside biosynthesis
PWY-7770	indolmycin biosynthesis
PWY-7580	phycoerythrobilin biosynthesis II
PWY-8158	ibotenate and muscimol biosynthesis
PWY-6593	sulfoacetate degradation
PWY-7473	avenacin A-1 biosynthesis
PWY-5094	naringenin glycoside biosynthesis
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I
PWY-5022	4-aminobutanoate degradation V
PWY-7379	mRNA capping II
PWY-5433	superpathway of lipoxygenase
PWY-5665	vanillin biosynthesis I
PWY-63	UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)
PWY-2904	formononetin conjugates interconversion
PWY-6609	adenine and adenosine salvage III
PWY-7285	methylwyosine biosynthesis
PWY-5469	sesamin biosynthesis
PWY-6745	phytochelatins biosynthesis
PWY66-425	L-lysine degradation II (L-pipecolate pathway)
MALATE-ASPARTATE-SHUTTLE-PWY	malate/L-aspartate shuttle pathway
PWY-5759	saponin biosynthesis III
PWY-7183	pyrimidine nucleobases salvage I
PWY-7265	lampranthin biosynthesis
PWY-5818	validamycin biosynthesis
PWY-7622	UDP-&alpha;-D-galactofuranose biosynthesis
PWY-7252	luteolinidin 5-<i>O</i>-glucoside biosynthesis
PWY-7238	sucrose biosynthesis II
PWY-6765	hydrogen production IV
PWY-6415	L-ascorbate biosynthesis V (euglena, D-galacturonate pathway)
PWY-7672	fusaric acid biosynthesis
PWY-5695	inosine 5'-phosphate degradation
PWY-6653	<i>ent</i> -kaurene biosynthesis II
GLUDEG-I-PWY	GABA shunt I
PWY-8370	leporin B biosynthesis
PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I
PWY-8069	nepetalactone biosynthesis
PWY1A0-6325	actinorhodin biosynthesis
PWY-6534	phenylethylamine degradation II
PWY-40	putrescine biosynthesis I
PWY-3661-1	glycine betaine degradation II (mammalian)
PWY-6332	coumestrol biosynthesis
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)
PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation
PWY-7844	heme degradation III
PWY-7606	docosahexaenoate biosynthesis III (6-desaturase, mammals)
PWY-8432	4-hydroxypyridine degradation
PWY-6077	anthranilate degradation II (aerobic)
PWY-5731	atrazine degradation III
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis
PWY-5270	morphine biosynthesis
PWY-7777	isoprene degradation
PWY-8234	<i>Escherichia coli</i> serotype O:183/<i>Shigella boydii</i> serotype O:10 O antigen biosynthesis
PWY-2921	capsidiol biosynthesis
GLUTSYN-PWY	L-glutamate biosynthesis I
PWY-7702	sch210971 and sch210972 biosynthesis
PWY-8115	long-chain polyamine biosynthesis
PWY-6367	D-<i>myo</i>-inositol-5-phosphate metabolism
PWY-6855	chitin degradation I (archaea)
PWY-6459	peptidoglycan cross-bridge biosynthesis I (<i>S. aureus</i>)
PWY-7684	&alpha;-diglucosyldiacylglycerol biosynthesis
PWY-8209	<i>Escherichia coli</i> serotype O:15 O antigen biosynthesis
PWY-8213	sulfoquinovose degradation III
PWY-8469	polycistronic tRNA processing I
PWY-7778	2-methylpropene degradation
PWY-7724	icosapentaenoate biosynthesis III (8-desaturase, mammals)
GALACTARDEG-PWY	D-galactarate degradation I
PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transfer II
PWY-7685	L-malate degradation I
CAROTENOID-PWY	superpathway of carotenoid biosynthesis in plants
PWY-8314	inulin degradation
PWY-8390	D-glucuronate degradation III
PWY-6151	<i>S</i>-adenosyl-L-methionine salvage I
MGLDLCTANA-PWY	methylglyoxal degradation VI
PWY-8372	erythritol biosynthesis I
PWY-5338	galactosylcyclitol biosynthesis
PWY-5456	methylglyoxal degradation VII
PWY-5927	(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation
PWY-7700	4-methylphenol degradation to protocatechuate
PWY-6660	2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis
PWY-6984	lipoate salvage II
PWY-7430	indole degradation to anthranil and anthranilate
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)
PWY-8138	polyphosphate metabolism
PWY-8412	representative whole plasma DHA-derived icosanoids
GLYSYN-ALA-PWY	glycine biosynthesis III
PWY-6530	perchlorate reduction
PWY-7448	galloylated catechin biosynthesis
PWY-6906	chitin derivatives degradation
PWY0-1347	NADH to trimethylamine <i>N</i>-oxide electron transfer
PWY-7731	superpathway of photosynthetic hydrogen production
PWY-7474	avenacin A-2 biosynthesis
PWY-6892	thiazole component of thiamine diphosphate biosynthesis I
PWY-6686	mannosylglucosylglycerate biosynthesis I
PWY-6443	benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)
PHESYN	L-phenylalanine biosynthesis I
PWY0-1314	fructose degradation
PWY-6083	chlorobenzene degradation
PWY-6994	L-pyrrolysine biosynthesis
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate
PWY-6081	1,3-dichlorobenzene degradation
PWY-6036	cardenolide glucosides biosynthesis
PWY-6995	5-hydroxymethylfurfural degradation
PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-5391	syringetin biosynthesis
PWY-7645	hyaluronan degradation
PWY-8253	<i>Escherichia coli</i> serotype O:149/<i>Shigella boydii</i> serotype O1 O antigen biosynthesis
PWY-8255	bile acids 3-O-epimerization
PWY-6451	3-carene biosynthesis
PWY-8220	<i>Escherichia coli</i> serotype O:117 O antigen biosynthesis
PWY-5813	bornyl diphosphate biosynthesis
PWY-7020	superpathway of butirocin biosynthesis
PWY-7579	phycourobilin biosynthesis
PWY-7108	erythromycin A biosynthesis
PWY-7135	emetine biosynthesis
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>)
PWY-8143	L-ascorbate biosynthesis VII (plants, D-galacturonate pathway)
PWY-6617	adenosine nucleotides degradation III
PWY-6981	chitin biosynthesis
LARABITOLUTIL-PWY	xylitol degradation I
PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)
PWY-7065	2&alpha;,7&beta;-dihydroxylation of taxusin
PWY-282	cuticular wax biosynthesis
PWY-4961	&beta;-pyrazole-1-ylalanine biosynthesis
PWY-8366	septacidin biosynthesis
PWY-6458	benzoyl-CoA biosynthesis
PWY-5905	hypusine biosynthesis
PWY-5461	betanidin degradation
PWY-7484	phytocassanes biosynthesis, shared reactions
PWY-5752	piperine biosynthesis
PWY-8277	NAD <i>de novo</i> biosynthesis IV (anaerobic)
PWY-5831	CDP-abequose biosynthesis
PWY-7136	&beta; myrcene degradation
PWY-8166	emodin biosynthesis
PWY-8504	spectinomycin biosynthesis
PWY-6140	CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis
PWY-8468	monocistronic tRNA processing I
PWY-6143	CMP-pseudaminate biosynthesis
PWY-7588	ursodeoxycholate biosynthesis (bacteria)
PWY-5844	menaquinol-9 biosynthesis
PWY-7059	fumigaclavine biosynthesis
PWY-5076	L-leucine degradation III
PWY-5873	ubiquinol-7 biosynthesis (late decarboxylation)
PWY-7591	okenone biosynthesis
PWY-5704	urea degradation II
SO4ASSIM-PWY	assimilatory sulfate reduction I
PWY-7550	ergothioneine biosynthesis II (fungi)
PWY-7077	<i>N</i>-acetyl-D-galactosamine degradation
PWY18C3-24	methylsalicylate degradation
PWY-5939	pyruvate fermentation to (<i>R</i>)-acetoin II
PWY0-1275	lipoate biosynthesis and incorporation II
PWY-8012	mupirocin biosynthesis
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway
PWY-5466	matairesinol biosynthesis
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
PWY-6278	botrydial biosynthesis
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)
PWY-7192	quercetin diglycoside biosynthesis (pollen-specific)
PWY66-221	nicotine degradation V
PWY-7400	L-arginine biosynthesis IV (archaea)
PWY-8193	<i>Salmonella enterica</i> serotype O:8 O antigen biosynthesis
PWY-5529	superpathway of bacteriochlorophyll <i>a</i> biosynthesis
PWY8J2-27	tRNA-uridine<sup>34</sup> modifications (<i>B. subtilis</i>)
PWY-7241	<I>myo</I>-inositol degradation II
PWY-6915	pentalenolactone biosynthesis
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)
PWY-6950	DIMBOA-glucoside biosynthesis
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
PWY-7725	arachidonate biosynthesis V (8-detaturase, mammals)
PWY0-1602	D-gulosides conversion to D-glucosides
PWY-6011	amygdalin and prunasin degradation
PWY-8308	thiazole component of thiamine diphosphate biosynthesis IV
PWY-7054	<i>N</i>-acetylglutaminylglutamine amide biosynthesis
PWY-6375	desferrioxamine E biosynthesis
