metabolite_id	metabolite_name
dgslnt_c	Selenodiglutathione
teo2_c	Tellurite
lkdr_c	2-dehydro-3-deoxy-L-rhamnonate
3hbzcoa_c	3-hydroxybenzoyl-CoA
n8aspmd_c	N8-Acetylspermidine
3hppnl_c	3-Hydroxypropanal
cs1_e	Cesium ion
wco_c	Tungsten binding cofactor
uLa4fn_c	Undecaprenyl phosphate-4-amino-4-formyl-L-arabinose
dhmpt_c	Dihydromonapterin
hg2_c	Mercury  charged 2  Hg
2tpr3dpcoa_c	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA
dsbdox_c	Fused thiol:disulfide interchange protein (oxidized)
5phdt_c	Phenylhydantoin
cs1_p	Cesium ion
agdpcbi_c	Adenosine-GDP-cobinamide
malt6p_c	Maltose 6'-phosphate
chtbs_e	N,N'-diacetylchitobiose
slnt_c	Selenite
fe3dhbzs_p	Ferric 2,3-dihydroxybenzoylserine
cinnm_c	Trans-Cinnamate
arbt6p_c	Arbutin 6-phosphate
cph4_c	6-carboxy-5,6,7,8-tetrahydropterin
thmnp_c	Tetrahydromonapterin
o16a4und_p	(O16 antigen)x4 undecaprenyl diphosphate
aconm_c	E-3-carboxy-2-pentenedioate 6-methyl ester
hg2_e	Mercury  charged 2  Hg
dsbcox_p	Protein disulfide isomerase II (oxidized)
arbt_p	Arbutin C12H16O7
2hptcoa_c	2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA
so2_e	Sulfur dioxide
cpg160_c	Cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)
adocbi_c	Adenosyl cobinamide
crn__D_e	D-Carnitine
13ppd_c	1,3-Propanediol
tmao_c	Trimethylamine N-oxide
tsul_c	Thiosulfate
23doguln_c	2,3-Dioxo-L-gulonate
34dhpha_c	3-4-Dihydroxyphenylacetate
aso3_e	Arsenite
dsbgox_p	Periplasmic disulfide isomerase/thiol-disulphide oxidase (oxidized)
apg120_c	Acyl phosphatidylglycerol (n-C12:0)
apg160_c	Acyl phosphatidylglycerol (n-C16:0)
mchtbs6p_c	N-monoacetylchitobiose 6'-phosphate
cbi_c	Cobinamide
cbi_e	Cobinamide
tungs_p	Tungstate
crn_e	L-Carnitine
dsbcrd_p	Protein disulfide isomerase II (reduced)
bmocogdp_c	Bis-molybdopterin guanine dinucleotide
cholate_c	Cholate c
34dphacoa_c	3,4-dihydroxyphenylacetyl-CoA
puacgam_c	Poly-?-1,6-N-acetyl-D-glucosamine
athtp_c	Adenosine thiamine triphosphate
23dhbzs3_c	2-3-dihydroxybenzoylserine trimer
sqg_c	1-(?-D-sulfoquinovosyl)glycerol
rhmn_c	L-rhamnonate
acglc__D_c	6-Acetyl-D-glucose
ragund_c	Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
oxa_c	Oxalate
nalme_c	N-?-acetyl lysine methyl ester
apg161_c	Acyl phosphatidylglycerol (n-C16:1)
r2hglut_c	(R)-2-Hydroxyglutarate
thcur_c	Tetrahydrocurcumin
5phua_c	Phenylureidoacetic acid
25dkglcn_c	2,5-diketo-D-gluconate
4mhetz_c	4-Methyl-5-(2-hydroxyethyl)-thiazole
na1_e	Sodium
acon_T_c	Trans-Aconitate
bbtcoa_c	Gamma-butyrobetainyl-CoA
udpLa4n_c	Uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose
o16aund_c	O16 antigen undecaprenyl diphosphate
o16aund_p	O16 antigen undecaprenyl diphosphate
acolipa_p	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A
arbt_e	Arbutin C12H16O7
sel_p	Selenate
dtgcl_c	2-hydroxyethyldisulfide
cholate_p	Cholate c
mercppyr_c	Mercaptopyruvate
garagund_c	Glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
fe3dhbzs_e	Ferric 2,3-dihydroxybenzoylserine
o16a3und_p	(O16 antigen)x3 undecaprenyl diphosphate
chtbs6p_c	Diacetylchitobiose-6-phosphate
slnt_e	Selenite
colipap_e	Core oligosaccharide lipid A diphosphate
f_c	Fluoride
udpLa4fn_c	Uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose
tma_c	Trimethylamine
udpgalfur_c	UDP-D-galacto-1,4-furanose
hg2_p	Mercury  charged 2  Hg
dsbaox_p	Periplasmic protein disulfide isomerase I (oxidized)
gslnt_c	Glutathiolselenolate
uLa4n_c	Undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose
ampnt_c	Aminomethylphosphonate
cenchddd_c	Cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol
cysi__L_p	L Cystine C6H12N2O4S2
cpg180_c	Cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)
dms_c	Dimethyl sulfide
N1aspmd_c	N1-Acetylspermidine
gthox_e	Oxidized glutathione
bwco1gdp_c	Tungsten bispterin cofactor mono-guanine dinucleotide
acmet_c	N-Acetylmethionine
3dhguln_c	3-Dehydro-L-gulonate
hqn_c	Hydroquinone
ap5a_c	P1,P5-Bis(5'-adenosyl) pentaphosphate
seln_c	Selenide
apoACP_c	Apoprotein [acyl carrier protein]
o16a4colipa_p	(O16 antigen)x4 core oligosaccharide lipid A
aso3_p	Arsenite
ag_c	Silver
gthox_p	Oxidized glutathione
forcoa_c	Formyl-CoA(4-)
didp_c	DIDP; 2'-deoxyinosine-5'-diphosphate(3-)
23doguln_p	2,3-Dioxo-L-gulonate
cur_c	Curcumin
fe3dcit_c	Fe(III)dicitrate
sel_e	Selenate
2dglc_p	2 Deoxy D glucose C6H12O5
dmso_c	Dimethyl sulfoxide
cxsam_c	Carboxy-S-adenosyl-L-methionine
mteo2_c	Methanetelluronate
lipa_cold_c	Cold adapted KDO(2)-lipid (A)
sarcs_c	Sarcosine C3H7NO2
3sala_c	3-Sulfino-L-alanine
udpLa4o_c	UDP-4-keto-pyranose
gfgaragund_c	Galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
na15dap_c	N-3-aminopropyl-1,5-diaminopentane
fe3dhbzs3_c	2-3-dihydroxybenzoylserine trimer-Fe-III
psuri_e	Pseudouridine
xdp_c	XDP
dsbgrd_p	Periplasmic disulfide isomerase/thiol-disulphide oxidase (reduced)
sucr_e	Sucrose C12H22O11
acolipa_e	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A
gdpddman_c	GDP-4-dehydro-6-deoxy-D-mannose
dhptdn_c	6,7-Dihydropteridine
4hbz_p	4-Hydroxybenzoate
prpncoa_c	Propenoyl-CoA
sel_c	Selenate
2dglc_e	2 Deoxy D glucose C6H12O5
56dura_c	5,6-dihydrouracil
psd5p_c	Pseudouridine 5  phosphate C9H11N2O9P
acampnt_c	2-N-acetamidomethylphosphonate
adocbip_c	Adenosyl cobinamide phosphate
gdpfuc_c	GDP-L-fucose
crncoa_c	L-Carnitinyl-CoA
gbbtn_e	Gamma-butyrobetaine
apg180_c	Acyl phosphatidylglycerol (n-C18:0)
appl_c	1-Aminopropan-2-ol
aragund_c	O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate
2dglc_c	2 Deoxy D glucose C6H12O5
o16a2und_p	(O16 antigen)x2 undecaprenyl diphosphate
cpe180_c	Cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)
rdmbzi_c	N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole
ctbtcoa_c	Crotonobetainyl-CoA
cdg_c	7-deaza-7-carboxyguanine
fe3dhbzs3_p	2-3-dihydroxybenzoylserine trimer-Fe-III
tungs_c	Tungstate
so2_c	Sulfur dioxide
dhcur_c	Dihydrocurcumin
4ahmmp_c	4-Amino-5-hydroxymethyl-2-methylpyrimidine
36dahx_c	(3S)-3,6-Diaminohexanoate
udpglcur_c	UDP-D-glucuronate
btnso_c	D-biotin d-sulfoxide
selnp_c	Selenophosphate
met__D_p	D-Methionine
suc6p_c	Sucrose 6-phosphate
uLa4n_p	Undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose
cu_c	Cu+
erthrs_c	D-erythrose
tungs_e	Tungstate
